accession,experiment
ERR771028,ERX714271
ERR771029,ERX714272
ERR771029,ERX714272
ERR771030,ERX714273
ERR771030,ERX714273
ERR771031,ERX714274
ERR771032,ERX714275
ERR771032,ERX714275
ERR771034,ERX714276
ERR771034,ERX714276
ERR771035,ERX714277
ERR771035,ERX714277
ERR771036,ERX714278
ERR771036,ERX714278
ERR771037,ERX714280
ERR771037,ERX714280
ERR771038,ERX714281
ERR771038,ERX714281
ERR771039,ERX714282
ERR771039,ERX714282
ERR771040,ERX714283
ERR771040,ERX714283
ERR771041,ERX714284
ERR771041,ERX714284
ERR771042,ERX714279
ERR771042,ERX714279
ERR771044,ERX714227
ERR771044,ERX714227
ERR771045,ERX714285
ERR771045,ERX714285
ERR771046,ERX714286
ERR771046,ERX714286
ERR771047,ERX714288
ERR771047,ERX714288
ERR771048,ERX714291
ERR771048,ERX714291
ERR771049,ERX714290
ERR771049,ERX714290
ERR771050,ERX714289
ERR771050,ERX714289
ERR771051,ERX714358
ERR771051,ERX714358
ERR771052,ERX714347
ERR771052,ERX714347
ERR771053,ERX714225
ERR771053,ERX714225
ERR771054,ERX714228
ERR771054,ERX714228
ERR771055,ERX714231
ERR771055,ERX714231
ERR771056,ERX714260
ERR771056,ERX714260
ERR771057,ERX714232
ERR771057,ERX714232
ERR771059,ERX714223
ERR771059,ERX714223
ERR771058,ERX714224
ERR771058,ERX714224
ERR771065,ERX714293
ERR771065,ERX714293
ERR771066,ERX714250
ERR771066,ERX714250
ERR771067,ERX714294
ERR771067,ERX714294
ERR771068,ERX714253
ERR771068,ERX714253
ERR771069,ERX714257
ERR771069,ERX714257
ERR771070,ERX714296
ERR771070,ERX714296
ERR771071,ERX714295
ERR771071,ERX714295
ERR771072,ERX714242
ERR771072,ERX714242
ERR771074,ERX714256
ERR771074,ERX714256
ERR771075,ERX714297
ERR771075,ERX714297
ERR771076,ERX714298
ERR771076,ERX714298
ERR771077,ERX714299
ERR771077,ERX714299
ERR771079,ERX714300
ERR771079,ERX714300
ERR771080,ERX714222
ERR771080,ERX714222
ERR771081,ERX714287
ERR771081,ERX714287
ERR771082,ERX714243
ERR771082,ERX714243
ERR771083,ERX714255
ERR771083,ERX714255
ERR771084,ERX714292
ERR771084,ERX714292
ERR771085,ERX714270
ERR771085,ERX714270
ERR771086,ERX714237
ERR771086,ERX714237
ERR771087,ERX714301
ERR771087,ERX714301
