accession,experiment
ERR599142,ERX556094
ERR598995,ERX556017
ERR598995,ERX556017
ERR598980,ERX556114
ERR598980,ERX556114
ERR868490,ERX947957
ERR868490,ERX947957
ERR599052,ERX555967
ERR599052,ERX555967
ERR598942,ERX555907
ERR598942,ERX555907
ERR599115,ERX556033
ERR599115,ERX556033
ERR873960,ERX953568
ERR873960,ERX953568
ERR873967,ERX953569
ERR873967,ERX953569
ERR598989,ERX556031
ERR598987,ERX556104
ERR598987,ERX556104
ERR599070,ERX556115
ERR599070,ERX556115
ERR599099,ERX555920
ERR599099,ERX555920
ERR599147,ERX556097
ERR599147,ERX556097
ERR599015,ERX555937
ERR599015,ERX555937
ERR599076,ERX555910
ERR599076,ERX555910
ERR599127,ERX556120
ERR599127,ERX556120
ERR599152,ERX556102
ERR599152,ERX556102
ERR868512,ERX948018
ERR868512,ERX948018
ERR599030,ERX556106
ERR599030,ERX556106
ERR599087,ERX555961
ERR599087,ERX555961
ERR599004,ERX556099
ERR599004,ERX556099
ERR599051,ERX556138
ERR599060,ERX556042
ERR599175,ERX555991
ERR599175,ERX555991
ERR868467,ERX948110
ERR868467,ERX948110
ERR599162,ERX556121
ERR599029,ERX556062
ERR599136,ERX556028
ERR599136,ERX556028
ERR599100,ERX556103
ERR599100,ERX556103
ERR598985,ERX555953
ERR598985,ERX555953
ERR868474,ERX948096
ERR868474,ERX948096
ERR873965,ERX953567
ERR873965,ERX953567
ERR868349,ERX947968
ERR868349,ERX947968
ERR868451,ERX948059
ERR868451,ERX948059
ERR598983,ERX556101
ERR598983,ERX556101
ERR599166,ERX555973
ERR599166,ERX555973
ERR868495,ERX948013
ERR868495,ERX948013
ERR598968,ERX556059
ERR598968,ERX556059
ERR599047,ERX556053
ERR599047,ERX556053
ERR868449,ERX948103
ERR868449,ERX948103
ERR599123,ERX555984
ERR599123,ERX555984
ERR598958,ERX556108
ERR598958,ERX556108
ERR868479,ERX948044
ERR868479,ERX948044
ERR598963,ERX556003
ERR598963,ERX556003
ERR598964,ERX556083
ERR598964,ERX556083
ERR868380,ERX947997
ERR868380,ERX947997
ERR599170,ERX556037
ERR599170,ERX556037
ERR598996,ERX555927
ERR598996,ERX555927
ERR598976,ERX555957
ERR598976,ERX555957
ERR598986,ERX556040
ERR598986,ERX556040
ERR599078,ERX556054
ERR599078,ERX556054
ERR598944,ERX556000
ERR598944,ERX556000
ERR868434,ERX947992
ERR868434,ERX947992
