accession,experiment
SRR1185413,SRX482825
SRR1185413,SRX482825
SRR1182512,SRX480925
SRR1182512,SRX480925
SRR1186214,SRX483565
SRR1186214,SRX483565
SRR1204581,SRX500867
SRR1204581,SRX500867
SRR1199270,SRX495672
SRR1199270,SRX495672
SRR1199271,SRX495673
SRR1199271,SRX495673
SRR1205252,SRX501405
SRR1205252,SRX501405
SRR1209977,SRX504487
SRR1209977,SRX504487
SRR1205253,SRX501433
SRR1205253,SRX501433
SRR1202090,SRX498866
SRR1202090,SRX498866
SRR1202091,SRX498867
SRR1202091,SRX498867
SRR1183650,SRX481234
SRR1183650,SRX481234
SRR4831650,SRX2319966
SRR4831650,SRX2319966
SRR4831648,SRX2319964
SRR4831648,SRX2319964
SRR4831658,SRX2319974
SRR4831658,SRX2319974
SRR4831661,SRX2319977
SRR4831662,SRX2319978
SRR4831663,SRX2319979
SRR4831664,SRX2319980
SRR4831666,SRX2319982
SRR4831655,SRX2319971
SRR4831657,SRX2319973
SRR4831646,SRX2319962
SRR4831644,SRX2319960
SRR4831644,SRX2319960
SRR1786279,SRX864952
SRR1786279,SRX864952
SRR1786608,SRX865120
SRR1786608,SRX865120
SRR1787940,SRX865473
SRR1787940,SRX865473
SRR1788318,SRX865668
SRR1788318,SRX865668
SRR1790489,SRX866353
SRR1790489,SRX866353
SRR1790646,SRX866600
SRR1790646,SRX866600
SRR1790676,SRX866630
SRR1790676,SRX866630
SRR1790679,SRX866632
SRR1790679,SRX866632
SRR1792674,SRX868336
SRR1792674,SRX868336
SRR1793861,SRX869280
SRR1793861,SRX869280
SRR1796116,SRX871251
SRR1796116,SRX871251
SRR1796234,SRX871335
SRR1796234,SRX871335
SRR4833087,SRX2320287
SRR4833077,SRX2320246
SRR4833081,SRX2320264
SRR5123277,SRX2438288
SRR4833064,SRX2320212
SRR4833056,SRX2320184
SRR5123275,SRX2438286
SRR5123274,SRX2438285
SRR4833073,SRX2320236
SRR4833073,SRX2320236
SRR4833062,SRX2320207
SRR4833062,SRX2320207
SRR4833053,SRX2320169
SRR4833084,SRX2320273
SRR5720327,SRX2937227
SRR5720327,SRX2937227
SRR5720326,SRX2937228
SRR5720326,SRX2937228
SRR5720333,SRX2937221
SRR5720333,SRX2937221
SRR5720332,SRX2937222
SRR5720332,SRX2937222
SRR5720340,SRX2937214
SRR5720340,SRX2937214
SRR5720341,SRX2937213
SRR5720341,SRX2937213
SRR5720338,SRX2937216
SRR5720338,SRX2937216
SRR5720339,SRX2937215
SRR5720339,SRX2937215
SRR5720336,SRX2937218
SRR5720336,SRX2937218
SRR5720337,SRX2937217
SRR5720337,SRX2937217
SRR5720334,SRX2937220
SRR5720334,SRX2937220
