accession,experiment
ERR770997,ERX714323
ERR770997,ERX714323
ERR771000,ERX714266
ERR771000,ERX714266
ERR771001,ERX714349
ERR771001,ERX714349
ERR771002,ERX714348
ERR771002,ERX714348
ERR771003,ERX714324
ERR771003,ERX714324
ERR771004,ERX714350
ERR771004,ERX714350
ERR771005,ERX714258
ERR771005,ERX714258
ERR771006,ERX714326
ERR771006,ERX714326
ERR771007,ERX714226
ERR771007,ERX714226
ERR771009,ERX714325
ERR771009,ERX714325
ERR771010,ERX714245
ERR771010,ERX714245
ERR771011,ERX714328
ERR771011,ERX714328
ERR771012,ERX714330
ERR771012,ERX714330
ERR771013,ERX714357
ERR771013,ERX714357
ERR771014,ERX714331
ERR771014,ERX714331
ERR771017,ERX714327
ERR771017,ERX714327
ERR771018,ERX714244
ERR771018,ERX714244
ERR771019,ERX714353
ERR771019,ERX714353
ERR771020,ERX714351
ERR771020,ERX714351
ERR771021,ERX714352
ERR771021,ERX714352
ERR771022,ERX714219
ERR771022,ERX714219
ERR771024,ERX714361
ERR771024,ERX714361
ERR771025,ERX714362
ERR771025,ERX714362
ERR771027,ERX714332
ERR771027,ERX714332
ERR771033,ERX714329
ERR771033,ERX714329
ERR771043,ERX714218
ERR771043,ERX714218
ERR771063,ERX714360
ERR771063,ERX714360
ERR771062,ERX714359
ERR771062,ERX714359
ERR771073,ERX714246
ERR771073,ERX714246
ERR771078,ERX714333
ERR771078,ERX714333
ERR771105,ERX714339
ERR771105,ERX714339
ERR770968,ERX714239
ERR770968,ERX714239
ERR770980,ERX714336
ERR770980,ERX714336
ERR770998,ERX714338
ERR770998,ERX714338
ERR770999,ERX714269
ERR770999,ERX714269
ERR771008,ERX714238
ERR771008,ERX714238
ERR771016,ERX714341
ERR771016,ERX714341
ERR771026,ERX714337
ERR771026,ERX714337
ERR771106,ERX714340
ERR771106,ERX714340
ERR771015,ERX714267
ERR771015,ERX714267
ERR771092,ERX714305
ERR771092,ERX714305
ERR771060,ERX714233
ERR771060,ERX714233
ERR771023,ERX714268
ERR771023,ERX714268
ERR771061,ERX714240
ERR771061,ERX714240
ERR770988,ERX714335
ERR770988,ERX714335
ERR771064,ERX714230
ERR771064,ERX714230
ERR855786,ERX935424
ERR855786,ERX935424
ERR164416,ERX140291
ERR164421,ERX140294
ERR315857,ERX289005
ERR315857,ERX289005
ERR164410,ERX140289
ERR164422,ERX140301
