accession,experiment
ERR598974,ERX556135
ERR599028,ERX556019
ERR599028,ERX556019
ERR599031,ERX556069
ERR599031,ERX556069
ERR599062,ERX556027
ERR599062,ERX556027
ERR594290,ERX552294
ERR594290,ERX552294
ERR594345,ERX552299
ERR594345,ERX552299
ERR599102,ERX556006
ERR599102,ERX556006
ERR599158,ERX556116
ERR599158,ERX556116
ERR594330,ERX552267
ERR594330,ERX552267
ERR164418,ERX140288
ERR598949,ERX556061
ERR598949,ERX556061
ERR599082,ERX556034
ERR599082,ERX556034
ERR599109,ERX555980
ERR599109,ERX555980
ERR599167,ERX556078
ERR599167,ERX556078
ERR594312,ERX552273
ERR594312,ERX552273
ERR164426,ERX140290
ERR594327,ERX552289
ERR594327,ERX552289
ERR164415,ERX140287
ERR599145,ERX556015
ERR599145,ERX556015
ERR599037,ERX556021
ERR599037,ERX556021
ERR599172,ERX556100
ERR599172,ERX556100
ERR594346,ERX552263
ERR594346,ERX552263
ERR164412,ERX140293
ERR599011,ERX555983
ERR599011,ERX555983
ERR599074,ERX555906
ERR599074,ERX555906
ERR594295,ERX552259
ERR594295,ERX552259
ERR598977,ERX556125
ERR598977,ERX556125
ERR599053,ERX555976
ERR599053,ERX555976
ERR599075,ERX556052
ERR599075,ERX556052
ERR599141,ERX556118
ERR599141,ERX556118
ERR599013,ERX556136
ERR599013,ERX556136
ERR599130,ERX556098
ERR599130,ERX556098
ERR164411,ERX140297
ERR599045,ERX556132
ERR599045,ERX556132
ERR599054,ERX556105
ERR599054,ERX556105
ERR164423,ERX140298
ERR599019,ERX556122
ERR599019,ERX556122
ERR599138,ERX556056
ERR599138,ERX556056
ERR594314,ERX552245
ERR594314,ERX552245
ERR164425,ERX140292
ERR599098,ERX556014
ERR599098,ERX556014
ERR599139,ERX555985
ERR599139,ERX555985
ERR599002,ERX556063
ERR599002,ERX556063
ERR599016,ERX555923
ERR599016,ERX555923
ERR599057,ERX555971
ERR599057,ERX555971
ERR599112,ERX555992
ERR599112,ERX555992
ERR599058,ERX555945
ERR599058,ERX555945
ERR599026,ERX556068
ERR599026,ERX556068
ERR599012,ERX556129
ERR599012,ERX556129
ERR598970,ERX556096
ERR598970,ERX556096
ERR599088,ERX556012
ERR599088,ERX556012
ERR599150,ERX556127
ERR599150,ERX556127
ERR599021,ERX555989
ERR599021,ERX555989
ERR599164,ERX555905
ERR599164,ERX555905
