accession,experiment
ERR598972,ERX555948
ERR598972,ERX555948
ERR599023,ERX556119
ERR599023,ERX556119
ERR599025,ERX556087
ERR599025,ERX556087
ERR594324,ERX552266
ERR594324,ERX552266
ERR598979,ERX555970
ERR598979,ERX555970
ERR599146,ERX556091
ERR599146,ERX556091
ERR594320,ERX552286
ERR594320,ERX552286
ERR598960,ERX555922
ERR598960,ERX555922
ERR599034,ERX555972
ERR599034,ERX555972
ERR598990,ERX556072
ERR598990,ERX556072
ERR599018,ERX555996
ERR599018,ERX555996
ERR599110,ERX556023
ERR599110,ERX556023
ERR594291,ERX552283
ERR594291,ERX552283
ERR598973,ERX556107
ERR598973,ERX556107
ERR599068,ERX556004
ERR599068,ERX556004
ERR599173,ERX555958
ERR599173,ERX555958
ERR598982,ERX556046
ERR598982,ERX556046
ERR599107,ERX556113
ERR599107,ERX556113
ERR598994,ERX556109
ERR598994,ERX556109
ERR599144,ERX556084
ERR599144,ERX556084
ERR594313,ERX552270
ERR594313,ERX552270
ERR594325,ERX552261
ERR594325,ERX552261
ERR598947,ERX555969
ERR598947,ERX555969
ERR599131,ERX556011
ERR599131,ERX556011
ERR594302,ERX552301
ERR594302,ERX552301
ERR599248,ERX556297
ERR599248,ERX556297
ERR599129,ERX555986
ERR599129,ERX555986
ERR599171,ERX556071
ERR599171,ERX556071
ERR599174,ERX555975
ERR599174,ERX555975
ERR594318,ERX552302
ERR594318,ERX552302
ERR594297,ERX552277
ERR594297,ERX552277
ERR599017,ERX555939
ERR599017,ERX555939
ERR599056,ERX556038
ERR599056,ERX556038
ERR599103,ERX556041
ERR599103,ERX556041
ERR594294,ERX552244
ERR594294,ERX552244
ERR594348,ERX552258
ERR594348,ERX552258
ERR599135,ERX556111
ERR599135,ERX556111
ERR599165,ERX555918
ERR599165,ERX555918
ERR594349,ERX552255
ERR594349,ERX552255
ERR594335,ERX552298
ERR594335,ERX552298
ERR599044,ERX556016
ERR599044,ERX556016
ERR599149,ERX556020
ERR599149,ERX556020
ERR594299,ERX552290
ERR594299,ERX552290
ERR594308,ERX552246
ERR594308,ERX552246
ERR594331,ERX552300
ERR594331,ERX552300
ERR599220,ERX556182
ERR599220,ERX556182
ERR598984,ERX556009
ERR598984,ERX556009
ERR599105,ERX555934
ERR599105,ERX555934
ERR599133,ERX555987
ERR599133,ERX555987
ERR599137,ERX556079
ERR599137,ERX556079
