accession,experiment
ERR599085,ERX555924
ERR599085,ERX555924
ERR868379,ERX948108
ERR868379,ERX948108
ERR599024,ERX555926
ERR599024,ERX555926
ERR599063,ERX556092
ERR599063,ERX556092
ERR599163,ERX555916
ERR599163,ERX555916
ERR599169,ERX556074
ERR599169,ERX556074
ERR599081,ERX555917
ERR599081,ERX555917
ERR599113,ERX555930
ERR599113,ERX555930
ERR598946,ERX555949
ERR598946,ERX555949
ERR598953,ERX556081
ERR598953,ERX556081
ERR598981,ERX555977
ERR598981,ERX555977
ERR868453,ERX948009
ERR868453,ERX948009
ERR868457,ERX948083
ERR868457,ERX948083
ERR598943,ERX556029
ERR598943,ERX556029
ERR598978,ERX555954
ERR598978,ERX555954
ERR599055,ERX556050
ERR599055,ERX556050
ERR599128,ERX556051
ERR599128,ERX556051
ERR599132,ERX555974
ERR599132,ERX555974
ERR868362,ERX948109
ERR868362,ERX948109
ERR598962,ERX556048
ERR598962,ERX556048
ERR599007,ERX556005
ERR599007,ERX556005
ERR599168,ERX556001
ERR599168,ERX556001
ERR868377,ERX947961
ERR868377,ERX947961
ERR598997,ERX556086
ERR598997,ERX556086
ERR599118,ERX555963
ERR599118,ERX555963
ERR598952,ERX556128
ERR598952,ERX556128
ERR599065,ERX556007
ERR599065,ERX556007
ERR599108,ERX556026
ERR599108,ERX556026
ERR598971,ERX556043
ERR599067,ERX556010
ERR599067,ERX556010
ERR868470,ERX947981
ERR868470,ERX947981
ERR868506,ERX948066
ERR868506,ERX948066
ERR599039,ERX556137
ERR599039,ERX556137
ERR599014,ERX555941
ERR599014,ERX555941
ERR599020,ERX556008
ERR599020,ERX556008
ERR868443,ERX948100
ERR868443,ERX948100
ERR599077,ERX555933
ERR599077,ERX555933
ERR598961,ERX556060
ERR598961,ERX556060
ERR599086,ERX556070
ERR599086,ERX556070
ERR873963,ERX953572
ERR873963,ERX953572
ERR598954,ERX555919
ERR598954,ERX555919
ERR598957,ERX555966
ERR598957,ERX555966
ERR599072,ERX555993
ERR599072,ERX555993
ERR868365,ERX948001
ERR868365,ERX948001
ERR598992,ERX555947
ERR598992,ERX555947
ERR594292,ERX552250
ERR594292,ERX552250
ERR594307,ERX552264
ERR594307,ERX552264
ERR594306,ERX552238
ERR594306,ERX552238
ERR598999,ERX556047
ERR598999,ERX556047
ERR599033,ERX555936
ERR599033,ERX555936
ERR599083,ERX555981
