accession,experiment
SRR5720292,SRX2937262
SRR5720292,SRX2937262
SRR5720291,SRX2937263
SRR5720291,SRX2937263
SRR5720290,SRX2937264
SRR5720290,SRX2937264
SRR5720289,SRX2937265
SRR5720289,SRX2937265
SRR5720288,SRX2937266
SRR5720288,SRX2937266
SRR5720287,SRX2937267
SRR5720287,SRX2937267
SRR5720310,SRX2937244
SRR5720310,SRX2937244
SRR5720311,SRX2937243
SRR5720311,SRX2937243
SRR5720312,SRX2937242
SRR5720312,SRX2937242
SRR5720313,SRX2937241
SRR5720313,SRX2937241
SRR5720314,SRX2937240
SRR5720314,SRX2937240
SRR5720315,SRX2937239
SRR5720315,SRX2937239
SRR5720316,SRX2937238
SRR5720316,SRX2937238
SRR5720317,SRX2937237
SRR5720317,SRX2937237
SRR5720308,SRX2937246
SRR5720308,SRX2937246
SRR5720309,SRX2937245
SRR5720309,SRX2937245
SRR5720329,SRX2937225
SRR5720329,SRX2937225
SRR5720328,SRX2937226
SRR5720328,SRX2937226
SRR5720331,SRX2937223
SRR5720331,SRX2937223
SRR5720330,SRX2937224
SRR5720330,SRX2937224
SRR5720325,SRX2937229
SRR5720325,SRX2937229
SRR5720324,SRX2937230
SRR5720324,SRX2937230
SRR6507277,SRX3595722
SRR6507277,SRX3595722
SRR6507278,SRX3595721
SRR6507278,SRX3595721
SRR1303791,SRX556047
SRR1303792,SRX556048
SRR1303793,SRX556049
SRR1303794,SRX556050
SRR1303795,SRX556051
SRR1303840,SRX556051
SRR1303796,SRX556052
SRR1303797,SRX556053
SRR1303798,SRX556054
SRR1303799,SRX556055
SRR1303800,SRX556056
SRR1303801,SRX556057
SRR1303802,SRX556058
SRR1303803,SRX556059
SRR1303804,SRX556060
SRR1303805,SRX556061
SRR1303806,SRX556062
SRR1304300,SRX556063
SRR1303808,SRX556064
SRR1303809,SRX556065
SRR1303810,SRX556066
SRR1303811,SRX556067
SRR1303812,SRX556068
SRR1303813,SRX556069
SRR1303814,SRX556070
SRR1303815,SRX556071
SRR1303839,SRX556071
SRR1303816,SRX556072
SRR1303817,SRX556073
SRR1303818,SRX556074
SRR1303819,SRX556075
SRR1303820,SRX556076
SRR1303821,SRX556077
SRR1303822,SRX556078
SRR1303823,SRX556079
SRR1303824,SRX556080
SRR1303825,SRX556081
SRR1303826,SRX556082
SRR1303827,SRX556083
SRR1303828,SRX556084
SRR1303829,SRX556085
SRR1303830,SRX556086
SRR1303831,SRX556087
SRR1303832,SRX556088
SRR020493,SRX007372
SRR020494,SRX007372
SRR020488,SRX007369
SRR020489,SRX007369
SRR020490,SRX007370
SRR020491,SRX007371
SRR020492,SRX007371
ERR771028,ERX714271
