accession,experiment
SRR5002314,SRX2334611
SRR5002332,SRX2334629
SRR5002394,SRX2334691
SRR5002333,SRX2334630
SRR5002338,SRX2334635
SRR5002358,SRX2334655
SRR5002379,SRX2334676
SRR5002345,SRX2334642
SRR5002365,SRX2334662
SRR5002393,SRX2334690
SRR5002308,SRX2334605
SRR5002320,SRX2334617
SRR5002375,SRX2334672
SRR5002382,SRX2334679
SRR5002353,SRX2334650
SRR5002387,SRX2334684
SRR5002352,SRX2334649
SRR5002368,SRX2334665
SRR5002409,SRX2334706
SRR5002325,SRX2334622
SRR5002370,SRX2334667
SRR5002366,SRX2334663
SRR5002411,SRX2334708
SRR5002318,SRX2334615
SRR5002392,SRX2334689
SRR5002357,SRX2334654
SRR5002383,SRX2334680
SRR5002407,SRX2334704
SRR5002340,SRX2334637
SRR5002339,SRX2334636
SRR5002389,SRX2334686
SRR5002311,SRX2334608
SRR5002347,SRX2334644
SRR5002373,SRX2334670
SRR5002346,SRX2334643
SRR5002313,SRX2334610
SRR5002348,SRX2334645
SRR5002369,SRX2334666
SRR5002321,SRX2334618
SRR5002374,SRX2334671
SRR5002398,SRX2334695
SRR5002317,SRX2334614
SRR5002326,SRX2334623
SRR5002364,SRX2334661
SRR5002384,SRX2334681
SRR5002356,SRX2334653
SRR5002391,SRX2334688
SRR5002413,SRX2334710
SRR5002414,SRX2334711
SRR5002323,SRX2334620
SRR5002327,SRX2334624
SRR5002312,SRX2334609
SRR5002360,SRX2334657
SRR5002336,SRX2334633
SRR5002330,SRX2334627
SRR5002329,SRX2334626
SRR5002324,SRX2334621
SRR5002399,SRX2334696
SRR5002397,SRX2334694
SRR5002331,SRX2334628
SRR5002367,SRX2334664
SRR9178224,SRX5950910
SRR9178224,SRX5950910
SRR9178318,SRX5950816
SRR9178318,SRX5950816
SRR9178366,SRX5950768
SRR9178366,SRX5950768
SRR9178142,SRX5950992
SRR9178142,SRX5950992
SRR9178146,SRX5950988
SRR9178146,SRX5950988
SRR9178316,SRX5950818
SRR9178316,SRX5950818
SRR9178357,SRX5950777
SRR9178357,SRX5950777
SRR9178359,SRX5950775
SRR9178359,SRX5950775
SRR9178141,SRX5950993
SRR9178141,SRX5950993
SRR9178147,SRX5950987
SRR9178147,SRX5950987
SRR9178108,SRX5951026
SRR9178108,SRX5951026
SRR9178153,SRX5950981
SRR9178153,SRX5950981
SRR9178360,SRX5950774
SRR9178360,SRX5950774
SRR9178477,SRX5951126
SRR9178477,SRX5951126
SRR9178098,SRX5951036
SRR9178098,SRX5951036
SRR9178215,SRX5950919
SRR9178215,SRX5950919
SRR9178107,SRX5951027
SRR9178107,SRX5951027
SRR9178155,SRX5950979
SRR9178155,SRX5950979
SRR9178486,SRX5951117
SRR9178486,SRX5951117
SRR9178148,SRX5950986
