accession,experiment
ERR771088,ERX714303
ERR771088,ERX714303
ERR771089,ERX714302
ERR771089,ERX714302
ERR771090,ERX714304
ERR771090,ERX714304
ERR771091,ERX714254
ERR771091,ERX714254
ERR771093,ERX714310
ERR771093,ERX714310
ERR771094,ERX714309
ERR771094,ERX714309
ERR771095,ERX714308
ERR771095,ERX714308
ERR771096,ERX714307
ERR771096,ERX714307
ERR771097,ERX714311
ERR771097,ERX714311
ERR771098,ERX714366
ERR771098,ERX714366
ERR771099,ERX714365
ERR771099,ERX714365
ERR771100,ERX714306
ERR771100,ERX714306
ERR771101,ERX714249
ERR771101,ERX714249
ERR771102,ERX714248
ERR771102,ERX714248
ERR771103,ERX714247
ERR771103,ERX714247
ERR771104,ERX714312
ERR771104,ERX714312
ERR770958,ERX714221
ERR770958,ERX714221
ERR770959,ERX714313
ERR770959,ERX714313
ERR770960,ERX714314
ERR770960,ERX714314
ERR770961,ERX714241
ERR770961,ERX714241
ERR770962,ERX714315
ERR770962,ERX714315
ERR770963,ERX714251
ERR770963,ERX714251
ERR770964,ERX714356
ERR770964,ERX714356
ERR770965,ERX714355
ERR770965,ERX714355
ERR770966,ERX714354
ERR770966,ERX714354
ERR770967,ERX714316
ERR770967,ERX714316
ERR770969,ERX714236
ERR770969,ERX714236
ERR770970,ERX714364
ERR770970,ERX714364
ERR770971,ERX714363
ERR770971,ERX714363
ERR770972,ERX714317
ERR770972,ERX714317
ERR770975,ERX714259
ERR770975,ERX714259
ERR770976,ERX714320
ERR770976,ERX714320
ERR770977,ERX714261
ERR770977,ERX714261
ERR770978,ERX714234
ERR770978,ERX714234
ERR770979,ERX714321
ERR770979,ERX714321
ERR770981,ERX714319
ERR770981,ERX714319
ERR770982,ERX714262
ERR770982,ERX714262
ERR770983,ERX714343
ERR770983,ERX714343
ERR770984,ERX714220
ERR770984,ERX714220
ERR770985,ERX714263
ERR770985,ERX714263
ERR770986,ERX714342
ERR770986,ERX714342
ERR770987,ERX714265
ERR770987,ERX714265
ERR770989,ERX714322
ERR770989,ERX714322
ERR770990,ERX714334
ERR770990,ERX714334
ERR770991,ERX714346
ERR770991,ERX714346
ERR770992,ERX714264
ERR770992,ERX714264
ERR770993,ERX714252
ERR770993,ERX714252
ERR770994,ERX714344
ERR770994,ERX714344
ERR770995,ERX714345
ERR770995,ERX714345
ERR770996,ERX714229
ERR770996,ERX714229
