accession,experiment,experiment,instrument,run,spots,bases,size,published
SRR9178372,SRX5950762,SRX5950762[accn],NextSeq 500,SRR9178372,"50,686,289",15.1G,6.9Gb,6/7/19
SRR9178372,SRX5950762,SRX5950762[accn],NextSeq 500,SRR9178372,"50,686,289",15.1G,6.9Gb,6/7/19
SRR9178188,SRX5950946,SRX5950946[accn],NextSeq 500,SRR9178188,"37,223,825",11.1G,4.9Gb,6/7/19
SRR9178188,SRX5950946,SRX5950946[accn],NextSeq 500,SRR9178188,"37,223,825",11.1G,4.9Gb,6/7/19
SRR9178499,SRX5951104,SRX5951104[accn],NextSeq 500,SRR9178499,"45,674,498",13.6G,6.2Gb,6/7/19
SRR9178499,SRX5951104,SRX5951104[accn],NextSeq 500,SRR9178499,"45,674,498",13.6G,6.2Gb,6/7/19
SRR9178337,SRX5950797,SRX5950797[accn],NextSeq 500,SRR9178337,"42,721,757",12.8G,5.6Gb,6/7/19
SRR9178337,SRX5950797,SRX5950797[accn],NextSeq 500,SRR9178337,"42,721,757",12.8G,5.6Gb,6/7/19
SRR9178353,SRX5950781,SRX5950781[accn],NextSeq 500,SRR9178353,"53,677,625",16.1G,7.2Gb,6/7/19
SRR9178353,SRX5950781,SRX5950781[accn],NextSeq 500,SRR9178353,"53,677,625",16.1G,7.2Gb,6/7/19
SRR9178104,SRX5951030,SRX5951030[accn],NextSeq 500,SRR9178104,"50,485,820",15.1G,6.6Gb,6/7/19
SRR9178104,SRX5951030,SRX5951030[accn],NextSeq 500,SRR9178104,"50,485,820",15.1G,6.6Gb,6/7/19
SRR9178237,SRX5950897,SRX5950897[accn],NextSeq 500,SRR9178237,"68,845,812",20.6G,9.2Gb,6/7/19
SRR9178237,SRX5950897,SRX5950897[accn],NextSeq 500,SRR9178237,"68,845,812",20.6G,9.2Gb,6/7/19
SRR9178103,SRX5951031,SRX5951031[accn],NextSeq 500,SRR9178103,"61,828,541",18.5G,8.4Gb,6/7/19
SRR9178103,SRX5951031,SRX5951031[accn],NextSeq 500,SRR9178103,"61,828,541",18.5G,8.4Gb,6/7/19
SRR9178236,SRX5950898,SRX5950898[accn],NextSeq 500,SRR9178236,"48,405,215",14.5G,6.4Gb,6/7/19
SRR9178236,SRX5950898,SRX5950898[accn],NextSeq 500,SRR9178236,"48,405,215",14.5G,6.4Gb,6/7/19
SRR9178209,SRX5950925,SRX5950925[accn],NextSeq 500,SRR9178209,"46,959,217",14.1G,6.2Gb,6/7/19
SRR9178209,SRX5950925,SRX5950925[accn],NextSeq 500,SRR9178209,"46,959,217",14.1G,6.2Gb,6/7/19
SRR9178276,SRX5950858,SRX5950858[accn],NextSeq 500,SRR9178276,"63,109,867",18.9G,8.5Gb,6/7/19
SRR9178276,SRX5950858,SRX5950858[accn],NextSeq 500,SRR9178276,"63,109,867",18.9G,8.5Gb,6/7/19
SRR9178218,SRX5950916,SRX5950916[accn],NextSeq 500,SRR9178218,"65,500,042",19.7G,8.8Gb,6/7/19
SRR9178218,SRX5950916,SRX5950916[accn],NextSeq 500,SRR9178218,"65,500,042",19.7G,8.8Gb,6/7/19
SRR9178465,SRX5951138,SRX5951138[accn],NextSeq 500,SRR9178465,"48,835,891",14.7G,6.4Gb,6/7/19
SRR9178465,SRX5951138,SRX5951138[accn],NextSeq 500,SRR9178465,"48,835,891",14.7G,6.4Gb,6/7/19
SRR9178437,SRX5951166,SRX5951166[accn],NextSeq 500,SRR9178437,"45,673,719",13.7G,6.2Gb,6/7/19
SRR9178437,SRX5951166,SRX5951166[accn],NextSeq 500,SRR9178437,"45,673,719",13.7G,6.2Gb,6/7/19
SRR9178493,SRX5951110,SRX5951110[accn],NextSeq 500,SRR9178493,"38,830,029",11.6G,5.2Gb,6/7/19
SRR9178493,SRX5951110,SRX5951110[accn],NextSeq 500,SRR9178493,"38,830,029",11.6G,5.2Gb,6/7/19
SRR9178406,SRX5951197,SRX5951197[accn],NextSeq 500,SRR9178406,"53,344,239",16G,7.1Gb,6/7/19
SRR9178406,SRX5951197,SRX5951197[accn],NextSeq 500,SRR9178406,"53,344,239",16G,7.1Gb,6/7/19
SRR9178441,SRX5951162,SRX5951162[accn],NextSeq 500,SRR9178441,"70,690,243",21.2G,9.6Gb,6/7/19
SRR9178441,SRX5951162,SRX5951162[accn],NextSeq 500,SRR9178441,"70,690,243",21.2G,9.6Gb,6/7/19
SRR9178088,SRX5951046,SRX5951046[accn],NextSeq 500,SRR9178088,"54,760,768",16.4G,7.3Gb,6/7/19
SRR9178088,SRX5951046,SRX5951046[accn],NextSeq 500,SRR9178088,"54,760,768",16.4G,7.3Gb,6/7/19
SRR9178478,SRX5951125,SRX5951125[accn],NextSeq 500,SRR9178478,"69,124,638",20.8G,9.4Gb,6/7/19
SRR9178478,SRX5951125,SRX5951125[accn],NextSeq 500,SRR9178478,"69,124,638",20.8G,9.4Gb,6/7/19
SRR9178277,SRX5950857,SRX5950857[accn],NextSeq 500,SRR9178277,"63,578,205",19.1G,8.6Gb,6/7/19
SRR9178277,SRX5950857,SRX5950857[accn],NextSeq 500,SRR9178277,"63,578,205",19.1G,8.6Gb,6/7/19
SRR9178440,SRX5951163,SRX5951163[accn],NextSeq 500,SRR9178440,"52,290,000",15.7G,7Gb,6/7/19
SRR9178440,SRX5951163,SRX5951163[accn],NextSeq 500,SRR9178440,"52,290,000",15.7G,7Gb,6/7/19
SRR9178159,SRX5950975,SRX5950975[accn],NextSeq 500,SRR9178159,"22,593,338",6.8G,2.6Gb,6/7/19
SRR9178159,SRX5950975,SRX5950975[accn],NextSeq 500,SRR9178159,"22,593,338",6.8G,2.6Gb,6/7/19
SRR9178436,SRX5951167,SRX5951167[accn],NextSeq 500,SRR9178436,"20,990,890",6.3G,2.4Gb,6/7/19
SRR9178436,SRX5951167,SRX5951167[accn],NextSeq 500,SRR9178436,"20,990,890",6.3G,2.4Gb,6/7/19
SRR9178487,SRX5951116,SRX5951116[accn],NextSeq 500,SRR9178487,"20,520,087",6.1G,2.4Gb,6/7/19
SRR9178487,SRX5951116,SRX5951116[accn],NextSeq 500,SRR9178487,"20,520,087",6.1G,2.4Gb,6/7/19
SRR9178483,SRX5951120,SRX5951120[accn],NextSeq 500,SRR9178483,"27,762,061",8.3G,3.2Gb,6/7/19
SRR9178483,SRX5951120,SRX5951120[accn],NextSeq 500,SRR9178483,"27,762,061",8.3G,3.2Gb,6/7/19
SRR9178410,SRX5951193,SRX5951193[accn],NextSeq 500,SRR9178410,"21,999,430",6.6G,2.5Gb,6/7/19
SRR9178410,SRX5951193,SRX5951193[accn],NextSeq 500,SRR9178410,"21,999,430",6.6G,2.5Gb,6/7/19
SRR9178083,SRX5951051,SRX5951051[accn],NextSeq 500,SRR9178083,"31,080,527",9.3G,3.6Gb,6/7/19
SRR9178083,SRX5951051,SRX5951051[accn],NextSeq 500,SRR9178083,"31,080,527",9.3G,3.6Gb,6/7/19
SRR9178532,SRX5951071,SRX5951071[accn],NextSeq 500,SRR9178532,"33,924,916",10.2G,3.9Gb,6/7/19
SRR9178532,SRX5951071,SRX5951071[accn],NextSeq 500,SRR9178532,"33,924,916",10.2G,3.9Gb,6/7/19
SRR9178403,SRX5950731,SRX5950731[accn],NextSeq 500,SRR9178403,"25,808,648",7.7G,3Gb,6/7/19
SRR9178403,SRX5950731,SRX5950731[accn],NextSeq 500,SRR9178403,"25,808,648",7.7G,3Gb,6/7/19
SRR9178491,SRX5951112,SRX5951112[accn],NextSeq 500,SRR9178491,"29,760,224",8.9G,3.4Gb,6/7/19
SRR9178491,SRX5951112,SRX5951112[accn],NextSeq 500,SRR9178491,"29,760,224",8.9G,3.4Gb,6/7/19
SRR9178331,SRX5950803,SRX5950803[accn],NextSeq 500,SRR9178331,"31,387,537",9.4G,3.6Gb,6/7/19
SRR9178331,SRX5950803,SRX5950803[accn],NextSeq 500,SRR9178331,"31,387,537",9.4G,3.6Gb,6/7/19
SRR9178507,SRX5951096,SRX5951096[accn],NextSeq 500,SRR9178507,"30,860,352",9.3G,3.6Gb,6/7/19
SRR9178507,SRX5951096,SRX5951096[accn],NextSeq 500,SRR9178507,"30,860,352",9.3G,3.6Gb,6/7/19
SRR9178080,SRX5951054,SRX5951054[accn],NextSeq 500,SRR9178080,"32,683,674",9.8G,3.8Gb,6/7/19
SRR9178080,SRX5951054,SRX5951054[accn],NextSeq 500,SRR9178080,"32,683,674",9.8G,3.8Gb,6/7/19
SRR9178194,SRX5950940,SRX5950940[accn],NextSeq 500,SRR9178194,"30,022,198",9G,3.9Gb,6/7/19
SRR9178194,SRX5950940,SRX5950940[accn],NextSeq 500,SRR9178194,"30,022,198",9G,3.9Gb,6/7/19
SRR9178097,SRX5951037,SRX5951037[accn],NextSeq 500,SRR9178097,"31,069,497",9.3G,4Gb,6/7/19
SRR9178097,SRX5951037,SRX5951037[accn],NextSeq 500,SRR9178097,"31,069,497",9.3G,4Gb,6/7/19
SRR9178193,SRX5950941,SRX5950941[accn],NextSeq 500,SRR9178193,"34,534,162",10.3G,4.4Gb,6/7/19
SRR9178193,SRX5950941,SRX5950941[accn],NextSeq 500,SRR9178193,"34,534,162",10.3G,4.4Gb,6/7/19
SRR9178109,SRX5951025,SRX5951025[accn],NextSeq 500,SRR9178109,"32,696,112",9.8G,4.2Gb,6/7/19
SRR9178109,SRX5951025,SRX5951025[accn],NextSeq 500,SRR9178109,"32,696,112",9.8G,4.2Gb,6/7/19
SRR9178287,SRX5950847,SRX5950847[accn],NextSeq 500,SRR9178287,"38,565,076",11.6G,4.9Gb,6/7/19
SRR9178287,SRX5950847,SRX5950847[accn],NextSeq 500,SRR9178287,"38,565,076",11.6G,4.9Gb,6/7/19
SRR9178225,SRX5950909,SRX5950909[accn],NextSeq 500,SRR9178225,"46,713,429",14G,6Gb,6/7/19
SRR9178225,SRX5950909,SRX5950909[accn],NextSeq 500,SRR9178225,"46,713,429",14G,6Gb,6/7/19
SRR9178484,SRX5951119,SRX5951119[accn],NextSeq 500,SRR9178484,"38,319,561",11.5G,4.9Gb,6/7/19
SRR9178484,SRX5951119,SRX5951119[accn],NextSeq 500,SRR9178484,"38,319,561",11.5G,4.9Gb,6/7/19
SRR9178090,SRX5951044,SRX5951044[accn],NextSeq 500,SRR9178090,"32,624,995",9.8G,4.2Gb,6/7/19
SRR9178090,SRX5951044,SRX5951044[accn],NextSeq 500,SRR9178090,"32,624,995",9.8G,4.2Gb,6/7/19
SRR9178227,SRX5950907,SRX5950907[accn],NextSeq 500,SRR9178227,"42,544,430",12.8G,5.5Gb,6/7/19
SRR9178227,SRX5950907,SRX5950907[accn],NextSeq 500,SRR9178227,"42,544,430",12.8G,5.5Gb,6/7/19
SRR9178284,SRX5950850,SRX5950850[accn],NextSeq 500,SRR9178284,"40,857,667",12.3G,5.4Gb,6/7/19
SRR9178284,SRX5950850,SRX5950850[accn],NextSeq 500,SRR9178284,"40,857,667",12.3G,5.4Gb,6/7/19
SRR9178091,SRX5951043,SRX5951043[accn],NextSeq 500,SRR9178091,"63,682,019",19.1G,8.3Gb,6/7/19
SRR9178091,SRX5951043,SRX5951043[accn],NextSeq 500,SRR9178091,"63,682,019",19.1G,8.3Gb,6/7/19
SRR9178336,SRX5950798,SRX5950798[accn],NextSeq 500,SRR9178336,"55,431,241",16.5G,7Gb,6/7/19
SRR9178336,SRX5950798,SRX5950798[accn],NextSeq 500,SRR9178336,"55,431,241",16.5G,7Gb,6/7/19
SRR9178100,SRX5951034,SRX5951034[accn],NextSeq 500,SRR9178100,"21,365,091",6.3G,2.7Gb,6/7/19
SRR9178100,SRX5951034,SRX5951034[accn],NextSeq 500,SRR9178100,"21,365,091",6.3G,2.7Gb,6/7/19
SRR9178233,SRX5950901,SRX5950901[accn],NextSeq 500,SRR9178233,"21,546,284",6.4G,2.8Gb,6/7/19
SRR9178233,SRX5950901,SRX5950901[accn],NextSeq 500,SRR9178233,"21,546,284",6.4G,2.8Gb,6/7/19
SRR9178220,SRX5950914,SRX5950914[accn],NextSeq 500,SRR9178220,"29,287,943",8.8G,3.8Gb,6/7/19
SRR9178220,SRX5950914,SRX5950914[accn],NextSeq 500,SRR9178220,"29,287,943",8.8G,3.8Gb,6/7/19
SRR9178191,SRX5950943,SRX5950943[accn],NextSeq 500,SRR9178191,"41,438,887",12.4G,5.4Gb,6/7/19
SRR9178191,SRX5950943,SRX5950943[accn],NextSeq 500,SRR9178191,"41,438,887",12.4G,5.4Gb,6/7/19
SRR9178082,SRX5951052,SRX5951052[accn],NextSeq 500,SRR9178082,"37,841,135",11.3G,4.9Gb,6/7/19
SRR9178082,SRX5951052,SRX5951052[accn],NextSeq 500,SRR9178082,"37,841,135",11.3G,4.9Gb,6/7/19
SRR9178402,SRX5950732,SRX5950732[accn],NextSeq 500,SRR9178402,"44,743,655",13.4G,5.8Gb,6/7/19
SRR9178402,SRX5950732,SRX5950732[accn],NextSeq 500,SRR9178402,"44,743,655",13.4G,5.8Gb,6/7/19
SRR9178158,SRX5950976,SRX5950976[accn],NextSeq 500,SRR9178158,"37,220,339",11.2G,4.9Gb,6/7/19
SRR9178158,SRX5950976,SRX5950976[accn],NextSeq 500,SRR9178158,"37,220,339",11.2G,4.9Gb,6/7/19
SRR9178459,SRX5951144,SRX5951144[accn],NextSeq 500,SRR9178459,"40,469,360",12.1G,5.3Gb,6/7/19
SRR9178459,SRX5951144,SRX5951144[accn],NextSeq 500,SRR9178459,"40,469,360",12.1G,5.3Gb,6/7/19
SRR9178409,SRX5951194,SRX5951194[accn],NextSeq 500,SRR9178409,"34,290,704",10.3G,4.5Gb,6/7/19
SRR9178409,SRX5951194,SRX5951194[accn],NextSeq 500,SRR9178409,"34,290,704",10.3G,4.5Gb,6/7/19
SRR9178081,SRX5951053,SRX5951053[accn],NextSeq 500,SRR9178081,"48,538,533",14.5G,6.3Gb,6/7/19
SRR9178081,SRX5951053,SRX5951053[accn],NextSeq 500,SRR9178081,"48,538,533",14.5G,6.3Gb,6/7/19
SRR9178457,SRX5951146,SRX5951146[accn],NextSeq 500,SRR9178457,"47,185,039",14.2G,6.2Gb,6/7/19
SRR9178457,SRX5951146,SRX5951146[accn],NextSeq 500,SRR9178457,"47,185,039",14.2G,6.2Gb,6/7/19
SRR9178212,SRX5950922,SRX5950922[accn],NextSeq 500,SRR9178212,"36,948,428",11.1G,4.8Gb,6/7/19
SRR9178212,SRX5950922,SRX5950922[accn],NextSeq 500,SRR9178212,"36,948,428",11.1G,4.8Gb,6/7/19
SRR9178279,SRX5950855,SRX5950855[accn],NextSeq 500,SRR9178279,"19,458,680",5.8G,2.5Gb,6/7/19
SRR9178279,SRX5950855,SRX5950855[accn],NextSeq 500,SRR9178279,"19,458,680",5.8G,2.5Gb,6/7/19
SRR9178443,SRX5951160,SRX5951160[accn],NextSeq 500,SRR9178443,"21,754,954",6.5G,2.8Gb,6/7/19
SRR9178443,SRX5951160,SRX5951160[accn],NextSeq 500,SRR9178443,"21,754,954",6.5G,2.8Gb,6/7/19
SRR9178282,SRX5950852,SRX5950852[accn],NextSeq 500,SRR9178282,"21,628,754",6.5G,2.7Gb,6/7/19
SRR9178282,SRX5950852,SRX5950852[accn],NextSeq 500,SRR9178282,"21,628,754",6.5G,2.7Gb,6/7/19
SRR9178319,SRX5950815,SRX5950815[accn],NextSeq 500,SRR9178319,"20,573,014",6.2G,2.6Gb,6/7/19
SRR9178319,SRX5950815,SRX5950815[accn],NextSeq 500,SRR9178319,"20,573,014",6.2G,2.6Gb,6/7/19
SRR9178149,SRX5950985,SRX5950985[accn],NextSeq 500,SRR9178149,"26,508,877",8G,3.4Gb,6/7/19
SRR9178149,SRX5950985,SRX5950985[accn],NextSeq 500,SRR9178149,"26,508,877",8G,3.4Gb,6/7/19
SRR9178102,SRX5951032,SRX5951032[accn],NextSeq 500,SRR9178102,"29,615,877",8.9G,3.9Gb,6/7/19
SRR9178102,SRX5951032,SRX5951032[accn],NextSeq 500,SRR9178102,"29,615,877",8.9G,3.9Gb,6/7/19
SRR9178361,SRX5950773,SRX5950773[accn],NextSeq 500,SRR9178361,"31,456,534",9.4G,4Gb,6/7/19
SRR9178361,SRX5950773,SRX5950773[accn],NextSeq 500,SRR9178361,"31,456,534",9.4G,4Gb,6/7/19
SRR9178217,SRX5950917,SRX5950917[accn],NextSeq 500,SRR9178217,"42,359,157",12.7G,5.5Gb,6/7/19
SRR9178217,SRX5950917,SRX5950917[accn],NextSeq 500,SRR9178217,"42,359,157",12.7G,5.5Gb,6/7/19
SRR9178144,SRX5950990,SRX5950990[accn],NextSeq 500,SRR9178144,"28,025,423",8.4G,3.6Gb,6/7/19
SRR9178144,SRX5950990,SRX5950990[accn],NextSeq 500,SRR9178144,"28,025,423",8.4G,3.6Gb,6/7/19
SRR9178095,SRX5951039,SRX5951039[accn],NextSeq 500,SRR9178095,"19,410,204",5.8G,2.5Gb,6/7/19
SRR9178095,SRX5951039,SRX5951039[accn],NextSeq 500,SRR9178095,"19,410,204",5.8G,2.5Gb,6/7/19
SRR9178535,SRX5951068,SRX5951068[accn],NextSeq 500,SRR9178535,"33,011,457",9.9G,4.3Gb,6/7/19
SRR9178535,SRX5951068,SRX5951068[accn],NextSeq 500,SRR9178535,"33,011,457",9.9G,4.3Gb,6/7/19
SRR9178534,SRX5951069,SRX5951069[accn],NextSeq 500,SRR9178534,"29,852,281",9G,3.8Gb,6/7/19
SRR9178534,SRX5951069,SRX5951069[accn],NextSeq 500,SRR9178534,"29,852,281",9G,3.8Gb,6/7/19
SRR9178375,SRX5950759,SRX5950759[accn],NextSeq 500,SRR9178375,"26,239,027",7.8G,3.4Gb,6/7/19
SRR9178375,SRX5950759,SRX5950759[accn],NextSeq 500,SRR9178375,"26,239,027",7.8G,3.4Gb,6/7/19
SRR9178145,SRX5950989,SRX5950989[accn],NextSeq 500,SRR9178145,"28,725,211",8.5G,3.7Gb,6/7/19
SRR9178145,SRX5950989,SRX5950989[accn],NextSeq 500,SRR9178145,"28,725,211",8.5G,3.7Gb,6/7/19
SRR9178367,SRX5950767,SRX5950767[accn],NextSeq 500,SRR9178367,"24,266,421",7.3G,3.1Gb,6/7/19
SRR9178367,SRX5950767,SRX5950767[accn],NextSeq 500,SRR9178367,"24,266,421",7.3G,3.1Gb,6/7/19
SRR9178476,SRX5951127,SRX5951127[accn],NextSeq 500,SRR9178476,"27,136,346",8.1G,3.5Gb,6/7/19
SRR9178476,SRX5951127,SRX5951127[accn],NextSeq 500,SRR9178476,"27,136,346",8.1G,3.5Gb,6/7/19
SRR9178196,SRX5950938,SRX5950938[accn],NextSeq 500,SRR9178196,"23,429,086",7G,3Gb,6/7/19
SRR9178196,SRX5950938,SRX5950938[accn],NextSeq 500,SRR9178196,"23,429,086",7G,3Gb,6/7/19
SRR9178504,SRX5951099,SRX5951099[accn],NextSeq 500,SRR9178504,"31,725,111",9.5G,4.1Gb,6/7/19
SRR9178504,SRX5951099,SRX5951099[accn],NextSeq 500,SRR9178504,"31,725,111",9.5G,4.1Gb,6/7/19
SRR9178339,SRX5950795,SRX5950795[accn],NextSeq 500,SRR9178339,"25,175,133",7.6G,3.3Gb,6/7/19
SRR9178339,SRX5950795,SRX5950795[accn],NextSeq 500,SRR9178339,"25,175,133",7.6G,3.3Gb,6/7/19
SRR9178373,SRX5950761,SRX5950761[accn],NextSeq 500,SRR9178373,"31,434,859",9.4G,4.1Gb,6/7/19
SRR9178373,SRX5950761,SRX5950761[accn],NextSeq 500,SRR9178373,"31,434,859",9.4G,4.1Gb,6/7/19
SRR9178154,SRX5950980,SRX5950980[accn],NextSeq 500,SRR9178154,"44,876,379",13.5G,5.8Gb,6/7/19
SRR9178154,SRX5950980,SRX5950980[accn],NextSeq 500,SRR9178154,"44,876,379",13.5G,5.8Gb,6/7/19
SRR9178456,SRX5951147,SRX5951147[accn],NextSeq 500,SRR9178456,"38,969,879",11.7G,5.1Gb,6/7/19
SRR9178456,SRX5951147,SRX5951147[accn],NextSeq 500,SRR9178456,"38,969,879",11.7G,5.1Gb,6/7/19
SRR9178079,SRX5951055,SRX5951055[accn],NextSeq 500,SRR9178079,"40,052,124",12G,5.2Gb,6/7/19
SRR9178079,SRX5951055,SRX5951055[accn],NextSeq 500,SRR9178079,"40,052,124",12G,5.2Gb,6/7/19
SRR9178506,SRX5951097,SRX5951097[accn],NextSeq 500,SRR9178506,"49,393,150",14.8G,6.4Gb,6/7/19
SRR9178506,SRX5951097,SRX5951097[accn],NextSeq 500,SRR9178506,"49,393,150",14.8G,6.4Gb,6/7/19
SRR9178494,SRX5951109,SRX5951109[accn],NextSeq 500,SRR9178494,"20,774,041",6.2G,2.6Gb,6/7/19
SRR9178494,SRX5951109,SRX5951109[accn],NextSeq 500,SRR9178494,"20,774,041",6.2G,2.6Gb,6/7/19
SRR9178143,SRX5950991,SRX5950991[accn],NextSeq 500,SRR9178143,"20,818,911",6.2G,2.6Gb,6/7/19
SRR9178143,SRX5950991,SRX5950991[accn],NextSeq 500,SRR9178143,"20,818,911",6.2G,2.6Gb,6/7/19
SRR9178490,SRX5951113,SRX5951113[accn],NextSeq 500,SRR9178490,"20,512,404",6.1G,2.6Gb,6/7/19
SRR9178490,SRX5951113,SRX5951113[accn],NextSeq 500,SRR9178490,"20,512,404",6.1G,2.6Gb,6/7/19
SRR9178362,SRX5950772,SRX5950772[accn],NextSeq 500,SRR9178362,"32,509,251",9.8G,4.1Gb,6/7/19
SRR9178362,SRX5950772,SRX5950772[accn],NextSeq 500,SRR9178362,"32,509,251",9.8G,4.1Gb,6/7/19
SRR9178528,SRX5951075,SRX5951075[accn],NextSeq 500,SRR9178528,"35,030,392",10.5G,4.4Gb,6/7/19
SRR9178528,SRX5951075,SRX5951075[accn],NextSeq 500,SRR9178528,"35,030,392",10.5G,4.4Gb,6/7/19
SRR9178119,SRX5951015,SRX5951015[accn],NextSeq 500,SRR9178119,"41,084,992",12.3G,5.2Gb,6/7/19
SRR9178119,SRX5951015,SRX5951015[accn],NextSeq 500,SRR9178119,"41,084,992",12.3G,5.2Gb,6/7/19
SRR9178230,SRX5950904,SRX5950904[accn],NextSeq 500,SRR9178230,"31,820,147",9.5G,4.1Gb,6/7/19
SRR9178230,SRX5950904,SRX5950904[accn],NextSeq 500,SRR9178230,"31,820,147",9.5G,4.1Gb,6/7/19
SRR9178369,SRX5950765,SRX5950765[accn],NextSeq 500,SRR9178369,"21,205,199",6.4G,2.7Gb,6/7/19
SRR9178369,SRX5950765,SRX5950765[accn],NextSeq 500,SRR9178369,"21,205,199",6.4G,2.7Gb,6/7/19
SRR9178160,SRX5950974,SRX5950974[accn],NextSeq 500,SRR9178160,"26,753,177",8G,3.4Gb,6/7/19
SRR9178160,SRX5950974,SRX5950974[accn],NextSeq 500,SRR9178160,"26,753,177",8G,3.4Gb,6/7/19
SRR9178460,SRX5951143,SRX5951143[accn],NextSeq 500,SRR9178460,"25,282,984",7.6G,3.3Gb,6/7/19
SRR9178460,SRX5951143,SRX5951143[accn],NextSeq 500,SRR9178460,"25,282,984",7.6G,3.3Gb,6/7/19
SRR9178501,SRX5951102,SRX5951102[accn],NextSeq 500,SRR9178501,"24,516,671",7.3G,3.2Gb,6/7/19
SRR9178501,SRX5951102,SRX5951102[accn],NextSeq 500,SRR9178501,"24,516,671",7.3G,3.2Gb,6/7/19
SRR9178118,SRX5951016,SRX5951016[accn],NextSeq 500,SRR9178118,"23,116,526",6.9G,2.9Gb,6/7/19
SRR9178118,SRX5951016,SRX5951016[accn],NextSeq 500,SRR9178118,"23,116,526",6.9G,2.9Gb,6/7/19
SRR9178092,SRX5951042,SRX5951042[accn],NextSeq 500,SRR9178092,"36,527,907",10.9G,4.8Gb,6/7/19
SRR9178092,SRX5951042,SRX5951042[accn],NextSeq 500,SRR9178092,"36,527,907",10.9G,4.8Gb,6/7/19
SRR9178404,SRX5951199,SRX5951199[accn],NextSeq 500,SRR9178404,"37,462,074",11.2G,4.9Gb,6/7/19
SRR9178404,SRX5951199,SRX5951199[accn],NextSeq 500,SRR9178404,"37,462,074",11.2G,4.9Gb,6/7/19
SRR9178089,SRX5951045,SRX5951045[accn],NextSeq 500,SRR9178089,"27,691,577",8.3G,3.6Gb,6/7/19
SRR9178089,SRX5951045,SRX5951045[accn],NextSeq 500,SRR9178089,"27,691,577",8.3G,3.6Gb,6/7/19
SRR9178530,SRX5951073,SRX5951073[accn],NextSeq 500,SRR9178530,"49,711,112",14.9G,6.5Gb,6/7/19
SRR9178530,SRX5951073,SRX5951073[accn],NextSeq 500,SRR9178530,"49,711,112",14.9G,6.5Gb,6/7/19
SRR9178356,SRX5950778,SRX5950778[accn],NextSeq 500,SRR9178356,"36,426,091",10.9G,4.8Gb,6/7/19
SRR9178356,SRX5950778,SRX5950778[accn],NextSeq 500,SRR9178356,"36,426,091",10.9G,4.8Gb,6/7/19
SRR9178096,SRX5951038,SRX5951038[accn],NextSeq 500,SRR9178096,"36,423,121",10.9G,4.8Gb,6/7/19
SRR9178096,SRX5951038,SRX5951038[accn],NextSeq 500,SRR9178096,"36,423,121",10.9G,4.8Gb,6/7/19
SRR9178479,SRX5951124,SRX5951124[accn],NextSeq 500,SRR9178479,"36,328,510",10.9G,4.8Gb,6/7/19
SRR9178479,SRX5951124,SRX5951124[accn],NextSeq 500,SRR9178479,"36,328,510",10.9G,4.8Gb,6/7/19
SRR9178101,SRX5951033,SRX5951033[accn],NextSeq 500,SRR9178101,"39,810,057",11.9G,5.2Gb,6/7/19
SRR9178101,SRX5951033,SRX5951033[accn],NextSeq 500,SRR9178101,"39,810,057",11.9G,5.2Gb,6/7/19
SRR9178223,SRX5950911,SRX5950911[accn],NextSeq 500,SRR9178223,"25,994,747",7.8G,3.5Gb,6/7/19
SRR9178223,SRX5950911,SRX5950911[accn],NextSeq 500,SRR9178223,"25,994,747",7.8G,3.5Gb,6/7/19
SRR9178291,SRX5950843,SRX5950843[accn],NextSeq 500,SRR9178291,"29,462,566",8.8G,3.9Gb,6/7/19
SRR9178291,SRX5950843,SRX5950843[accn],NextSeq 500,SRR9178291,"29,462,566",8.8G,3.9Gb,6/7/19
SRR9178445,SRX5951158,SRX5951158[accn],NextSeq 500,SRR9178445,"35,188,543",10.5G,4.6Gb,6/7/19
SRR9178445,SRX5951158,SRX5951158[accn],NextSeq 500,SRR9178445,"35,188,543",10.5G,4.6Gb,6/7/19
SRR9178288,SRX5950846,SRX5950846[accn],NextSeq 500,SRR9178288,"38,897,380",11.6G,5.1Gb,6/7/19
SRR9178288,SRX5950846,SRX5950846[accn],NextSeq 500,SRR9178288,"38,897,380",11.6G,5.1Gb,6/7/19
SRR9178219,SRX5950915,SRX5950915[accn],NextSeq 500,SRR9178219,"35,083,177",10.5G,4.1Gb,6/7/19
SRR9178219,SRX5950915,SRX5950915[accn],NextSeq 500,SRR9178219,"35,083,177",10.5G,4.1Gb,6/7/19
SRR9178330,SRX5950804,SRX5950804[accn],NextSeq 500,SRR9178330,"27,747,066",8.3G,3.3Gb,6/7/19
SRR9178330,SRX5950804,SRX5950804[accn],NextSeq 500,SRR9178330,"27,747,066",8.3G,3.3Gb,6/7/19
SRR9178314,SRX5950820,SRX5950820[accn],NextSeq 500,SRR9178314,"32,702,802",9.8G,3.8Gb,6/7/19
SRR9178314,SRX5950820,SRX5950820[accn],NextSeq 500,SRR9178314,"32,702,802",9.8G,3.8Gb,6/7/19
SRR9178274,SRX5950860,SRX5950860[accn],NextSeq 500,SRR9178274,"37,980,359",11.4G,4.5Gb,6/7/19
SRR9178274,SRX5950860,SRX5950860[accn],NextSeq 500,SRR9178274,"37,980,359",11.4G,4.5Gb,6/7/19
SRR9178485,SRX5951118,SRX5951118[accn],NextSeq 500,SRR9178485,"26,722,418",8G,3.2Gb,6/7/19
