bases
2.1G
2.1G
1.6G
1.6G
401.7M
401.7M
2.9G
2.9G
1.4G
1.4G
400.4M
400.4M
84.8M
84.8M
1.4G
1.4G
1G
1G
79.5M
79.5M
1.3G
1.3G
1.9G
1.9G
3.5G
3.5G
4.9G
4.9G
122.1M
122.1M
972.9M
2.6G
355.6M
5.4G
3.6G
4.8G
3.9G
2.3G
3.6G
3.6G
4.3G
4.3G
2.1G
2.1G
6G
6G
10.6G
10.6G
2.7G
2.7G
3G
3G
9.1G
9.1G
3.3G
3.3G
2.5G
2.5G
2.5G
2.5G
9.5G
9.5G
2.4G
2.4G
3.7G
4.1G
2.2G
7.2G
3.9G
5.5G
8.4G
4.9G
9.4M
9.4M
16.1M
16.1M
4.8G
3.7G
8.2G
8.2G
11.3G
11.3G
8.2G
8.2G
6.7G
6.7G
6.8G
6.8G
9G
9G
11.1G
11.1G
11.9G
11.9G
10.5G
10.5G
6.4G
6.4G
9.3G
9.3G
10.4G
10.4G
9.5G
9.5G
8.7G
8.7G
8G
8G
6G
6G
8.4G
8.4G
8.3G
8.3G
7.8G
7.8G
8.3G
8.3G
12G
12G
4G
4G
10.2G
10.2G
10.1G
10.1G
3.8G
3.8G
12.2G
12.2G
11.2G
11.2G
10.7G
10.7G
12.7G
12.7G
14.3G
14.3G
5.2G
5.2G
9G
9G
7G
7G
5.5G
5.5G
11.4G
11.4G
9.3G
9.3G
7.5G
7.5G
9.2G
9.2G
9.8G
9.8G
6.5G
6.5G
9.4G
9.4G
10.2G
10.2G
7.4G
7.4G
11.9G
11.9G
8.7G
8.7G
6.8G
6.8G
9.4G
9.4G
5.6G
5.6G
4.5G
4.5G
6.4G
6.4G
19.3G
19.3G
3.8G
3.8G
6.1G
6.1G
15.5G
15.5G
6.6G
6.6G
15.6G
15.6G
11.2G
11.2G
9.7G
9.7G
10G
10G
10.3G
10.3G
15.1G
15.1G
25.8G
25.8G
189.2M
228.7M
158.2M
110.5M
77.8M
207.6M
258.6M
235.3M
120.2M
152.3M
216.9M
93.5M
166.1M
182.5M
164.9M
168.3M
209.5M
156.4M
301.6M
311.8M
341.7M
301.6M
185M
189.7M
110.5M
139.8M
150.9M
102.1M
106.8M
152.3M
142.9M
183.4M
182.5M
174.3M
170.6M
157.6M
97.6M
69.6M
56.5M
142.6M
225.9M
33M
109.7M
122M
