experiment,instrument,run,spots,bases,size,published
SRX5950860[accn],NextSeq 500,SRR9178274,"37,980,359",11.4G,4.5Gb,2019-06-07
SRX5951118[accn],NextSeq 500,SRR9178485,"26,722,418",8G,3.2Gb,2019-06-07
SRX5951118[accn],NextSeq 500,SRR9178485,"26,722,418",8G,3.2Gb,2019-06-07
SRX5951161[accn],NextSeq 500,SRR9178442,"33,342,643",10G,3.9Gb,2019-06-07
SRX5951161[accn],NextSeq 500,SRR9178442,"33,342,643",10G,3.9Gb,2019-06-07
SRX5950845[accn],NextSeq 500,SRR9178289,"35,348,562",10.6G,4.2Gb,2019-06-07
SRX5950845[accn],NextSeq 500,SRR9178289,"35,348,562",10.6G,4.2Gb,2019-06-07
SRX5950912[accn],NextSeq 500,SRR9178222,"33,979,526",10.2G,4.1Gb,2019-06-07
SRX5950912[accn],NextSeq 500,SRR9178222,"33,979,526",10.2G,4.1Gb,2019-06-07
SRX5950780[accn],NextSeq 500,SRR9178354,"33,039,205",9.9G,4Gb,2019-06-07
SRX5950780[accn],NextSeq 500,SRR9178354,"33,039,205",9.9G,4Gb,2019-06-07
SRX5950984[accn],NextSeq 500,SRR9178150,"27,460,397",8.2G,3.3Gb,2019-06-07
SRX5950984[accn],NextSeq 500,SRR9178150,"27,460,397",8.2G,3.3Gb,2019-06-07
SRX5950926[accn],NextSeq 500,SRR9178208,"31,111,459",9.3G,3.8Gb,2019-06-07
SRX5950926[accn],NextSeq 500,SRR9178208,"31,111,459",9.3G,3.8Gb,2019-06-07
SRX5951159[accn],NextSeq 500,SRR9178444,"26,104,153",7.8G,3.1Gb,2019-06-07
SRX5951159[accn],NextSeq 500,SRR9178444,"26,104,153",7.8G,3.1Gb,2019-06-07
SRX5950978[accn],NextSeq 500,SRR9178156,"24,274,767",7.3G,2.9Gb,2019-06-07
SRX5950978[accn],NextSeq 500,SRR9178156,"24,274,767",7.3G,2.9Gb,2019-06-07
SRX5950844[accn],NextSeq 500,SRR9178290,"27,870,387",8.4G,3.3Gb,2019-06-07
SRX5950844[accn],NextSeq 500,SRR9178290,"27,870,387",8.4G,3.3Gb,2019-06-07
SRX5950977[accn],NextSeq 500,SRR9178157,"28,999,324",8.7G,3.4Gb,2019-06-07
SRX5950977[accn],NextSeq 500,SRR9178157,"28,999,324",8.7G,3.4Gb,2019-06-07
SRX5951121[accn],NextSeq 500,SRR9178482,"33,659,289",10.1G,4Gb,2019-06-07
SRX5951121[accn],NextSeq 500,SRR9178482,"33,659,289",10.1G,4Gb,2019-06-07
SRX5950861[accn],NextSeq 500,SRR9178273,"28,534,005",8.6G,3.4Gb,2019-06-07
SRX5950861[accn],NextSeq 500,SRR9178273,"28,534,005",8.6G,3.4Gb,2019-06-07
SRX5951047[accn],NextSeq 500,SRR9178087,"38,958,226",11.7G,4.7Gb,2019-06-07
SRX5951047[accn],NextSeq 500,SRR9178087,"38,958,226",11.7G,4.7Gb,2019-06-07
SRX5951139[accn],NextSeq 500,SRR9178464,"39,294,556",11.8G,4.7Gb,2019-06-07
SRX5951139[accn],NextSeq 500,SRR9178464,"39,294,556",11.8G,4.7Gb,2019-06-07
SRX5951111[accn],NextSeq 500,SRR9178492,"31,747,341",9.5G,3.8Gb,2019-06-07
SRX5951111[accn],NextSeq 500,SRR9178492,"31,747,341",9.5G,3.8Gb,2019-06-07
SRX5950760[accn],NextSeq 500,SRR9178374,"30,645,145",9.2G,3.7Gb,2019-06-07
SRX5950760[accn],NextSeq 500,SRR9178374,"30,645,145",9.2G,3.7Gb,2019-06-07
SRX5951024[accn],NextSeq 500,SRR9178110,"32,194,412",9.7G,3.9Gb,2019-06-07
SRX5951024[accn],NextSeq 500,SRR9178110,"32,194,412",9.7G,3.9Gb,2019-06-07
SRX5951020[accn],NextSeq 500,SRR9178114,"28,042,668",8.4G,3.4Gb,2019-06-07
SRX5951020[accn],NextSeq 500,SRR9178114,"28,042,668",8.4G,3.4Gb,2019-06-07
