experiment,instrument,run,spots,bases,size,published
ERX556135[accn],Illumina HiSeq 2000,ERR598974,"32,688,174",6.5G,3.9Gb,2014-09-13
ERX556019[accn],Illumina HiSeq 2000,ERR599028,"168,362,651",33.2G,21.9Gb,2014-09-13
ERX556019[accn],Illumina HiSeq 2000,ERR599028,"168,362,651",33.2G,21.9Gb,2014-09-13
ERX556069[accn],Illumina HiSeq 2000,ERR599031,"29,275,624",5.8G,3.6Gb,2014-09-13
ERX556069[accn],Illumina HiSeq 2000,ERR599031,"29,275,624",5.8G,3.6Gb,2014-09-13
ERX556027[accn],Illumina HiSeq 2000,ERR599062,"170,126,485",33.5G,21.7Gb,2014-09-13
ERX556027[accn],Illumina HiSeq 2000,ERR599062,"170,126,485",33.5G,21.7Gb,2014-09-13
ERX552294[accn],Illumina HiSeq 2000,ERR594290,"77,851,600",15.7G,10.2Gb,2014-09-07
ERX552294[accn],Illumina HiSeq 2000,ERR594290,"77,851,600",15.7G,10.2Gb,2014-09-07
ERX552299[accn],Illumina HiSeq 2000,ERR594345,"188,517,258",38.1G,24.6Gb,2014-09-07
ERX552299[accn],Illumina HiSeq 2000,ERR594345,"188,517,258",38.1G,24.6Gb,2014-09-07
ERX556006[accn],Illumina HiSeq 2000,ERR599102,"91,220,211",18G,11.8Gb,2014-09-13
ERX556006[accn],Illumina HiSeq 2000,ERR599102,"91,220,211",18G,11.8Gb,2014-09-13
ERX556116[accn],Illumina HiSeq 2000,ERR599158,"39,699,921",8G,4.6Gb,2014-09-13
ERX556116[accn],Illumina HiSeq 2000,ERR599158,"39,699,921",8G,4.6Gb,2014-09-13
ERX552267[accn],Illumina HiSeq 2000,ERR594330,"35,266,822",7.1G,4Gb,2014-09-07
ERX552267[accn],Illumina HiSeq 2000,ERR594330,"35,266,822",7.1G,4Gb,2014-09-07
ERX140288[accn],454 GS FLX Titanium,ERR164418,"747,681",425.2M,918.1Mb,2013-04-18
ERX556061[accn],Illumina HiSeq 2000,ERR598949,"31,343,525",6.2G,3.6Gb,2014-09-13
ERX556061[accn],Illumina HiSeq 2000,ERR598949,"31,343,525",6.2G,3.6Gb,2014-09-13
ERX556034[accn],Illumina HiSeq 2000,ERR599082,"178,499,808",34.9G,23.4Gb,2014-09-13
ERX556034[accn],Illumina HiSeq 2000,ERR599082,"178,499,808",34.9G,23.4Gb,2014-09-13
ERX555980[accn],Illumina HiSeq 2000,ERR599109,"38,804,069",7.7G,4.6Gb,2014-09-13
ERX555980[accn],Illumina HiSeq 2000,ERR599109,"38,804,069",7.7G,4.6Gb,2014-09-13
ERX556078[accn],Illumina HiSeq 2000,ERR599167,"91,191,543",17.7G,11.9Gb,2014-09-13
ERX556078[accn],Illumina HiSeq 2000,ERR599167,"91,191,543",17.7G,11.9Gb,2014-09-13
ERX552273[accn],Illumina HiSeq 2000,ERR594312,"78,766,778",15.9G,10Gb,2014-09-07
ERX552273[accn],Illumina HiSeq 2000,ERR594312,"78,766,778",15.9G,10Gb,2014-09-07
ERX140290[accn],454 GS FLX Titanium,ERR164426,"755,914",427.3M,927.6Mb,2013-04-18
ERX552289[accn],Illumina HiSeq 2000,ERR594327,"24,982,304",5G,2.9Gb,2014-09-07
ERX552289[accn],Illumina HiSeq 2000,ERR594327,"24,982,304",5G,2.9Gb,2014-09-07
ERX140287[accn],454 GS FLX Titanium,ERR164415,"737,840",403.5M,881.8Mb,2013-04-18
ERX556015[accn],Illumina HiSeq 2000,ERR599145,"169,022,446",33.5G,20.8Gb,2014-09-13
