experiment,instrument,run,spots,bases,size,published
SRX5951160[accn],NextSeq 500,SRR9178443,"21,754,954",6.5G,2.8Gb,2019-06-07
SRX5950852[accn],NextSeq 500,SRR9178282,"21,628,754",6.5G,2.7Gb,2019-06-07
SRX5950852[accn],NextSeq 500,SRR9178282,"21,628,754",6.5G,2.7Gb,2019-06-07
SRX5950815[accn],NextSeq 500,SRR9178319,"20,573,014",6.2G,2.6Gb,2019-06-07
SRX5950815[accn],NextSeq 500,SRR9178319,"20,573,014",6.2G,2.6Gb,2019-06-07
SRX5950985[accn],NextSeq 500,SRR9178149,"26,508,877",8G,3.4Gb,2019-06-07
SRX5950985[accn],NextSeq 500,SRR9178149,"26,508,877",8G,3.4Gb,2019-06-07
SRX5951032[accn],NextSeq 500,SRR9178102,"29,615,877",8.9G,3.9Gb,2019-06-07
SRX5951032[accn],NextSeq 500,SRR9178102,"29,615,877",8.9G,3.9Gb,2019-06-07
SRX5950773[accn],NextSeq 500,SRR9178361,"31,456,534",9.4G,4Gb,2019-06-07
SRX5950773[accn],NextSeq 500,SRR9178361,"31,456,534",9.4G,4Gb,2019-06-07
SRX5950917[accn],NextSeq 500,SRR9178217,"42,359,157",12.7G,5.5Gb,2019-06-07
SRX5950917[accn],NextSeq 500,SRR9178217,"42,359,157",12.7G,5.5Gb,2019-06-07
SRX5950990[accn],NextSeq 500,SRR9178144,"28,025,423",8.4G,3.6Gb,2019-06-07
SRX5950990[accn],NextSeq 500,SRR9178144,"28,025,423",8.4G,3.6Gb,2019-06-07
SRX5951039[accn],NextSeq 500,SRR9178095,"19,410,204",5.8G,2.5Gb,2019-06-07
SRX5951039[accn],NextSeq 500,SRR9178095,"19,410,204",5.8G,2.5Gb,2019-06-07
SRX5951068[accn],NextSeq 500,SRR9178535,"33,011,457",9.9G,4.3Gb,2019-06-07
SRX5951068[accn],NextSeq 500,SRR9178535,"33,011,457",9.9G,4.3Gb,2019-06-07
SRX5951069[accn],NextSeq 500,SRR9178534,"29,852,281",9G,3.8Gb,2019-06-07
SRX5951069[accn],NextSeq 500,SRR9178534,"29,852,281",9G,3.8Gb,2019-06-07
SRX5950759[accn],NextSeq 500,SRR9178375,"26,239,027",7.8G,3.4Gb,2019-06-07
SRX5950759[accn],NextSeq 500,SRR9178375,"26,239,027",7.8G,3.4Gb,2019-06-07
SRX5950989[accn],NextSeq 500,SRR9178145,"28,725,211",8.5G,3.7Gb,2019-06-07
SRX5950989[accn],NextSeq 500,SRR9178145,"28,725,211",8.5G,3.7Gb,2019-06-07
SRX5950767[accn],NextSeq 500,SRR9178367,"24,266,421",7.3G,3.1Gb,2019-06-07
SRX5950767[accn],NextSeq 500,SRR9178367,"24,266,421",7.3G,3.1Gb,2019-06-07
SRX5951127[accn],NextSeq 500,SRR9178476,"27,136,346",8.1G,3.5Gb,2019-06-07
SRX5951127[accn],NextSeq 500,SRR9178476,"27,136,346",8.1G,3.5Gb,2019-06-07
SRX5950938[accn],NextSeq 500,SRR9178196,"23,429,086",7G,3Gb,2019-06-07
SRX5950938[accn],NextSeq 500,SRR9178196,"23,429,086",7G,3Gb,2019-06-07
SRX5951099[accn],NextSeq 500,SRR9178504,"31,725,111",9.5G,4.1Gb,2019-06-07
SRX5951099[accn],NextSeq 500,SRR9178504,"31,725,111",9.5G,4.1Gb,2019-06-07
SRX5950795[accn],NextSeq 500,SRR9178339,"25,175,133",7.6G,3.3Gb,2019-06-07
SRX5950795[accn],NextSeq 500,SRR9178339,"25,175,133",7.6G,3.3Gb,2019-06-07
SRX5950761[accn],NextSeq 500,SRR9178373,"31,434,859",9.4G,4.1Gb,2019-06-07
SRX5950761[accn],NextSeq 500,SRR9178373,"31,434,859",9.4G,4.1Gb,2019-06-07
SRX5950980[accn],NextSeq 500,SRR9178154,"44,876,379",13.5G,5.8Gb,2019-06-07
SRX5950980[accn],NextSeq 500,SRR9178154,"44,876,379",13.5G,5.8Gb,2019-06-07
SRX5951147[accn],NextSeq 500,SRR9178456,"38,969,879",11.7G,5.1Gb,2019-06-07
SRX5951147[accn],NextSeq 500,SRR9178456,"38,969,879",11.7G,5.1Gb,2019-06-07
SRX5951055[accn],NextSeq 500,SRR9178079,"40,052,124",12G,5.2Gb,2019-06-07
SRX5951055[accn],NextSeq 500,SRR9178079,"40,052,124",12G,5.2Gb,2019-06-07
SRX5951097[accn],NextSeq 500,SRR9178506,"49,393,150",14.8G,6.4Gb,2019-06-07
SRX5951097[accn],NextSeq 500,SRR9178506,"49,393,150",14.8G,6.4Gb,2019-06-07
SRX5951109[accn],NextSeq 500,SRR9178494,"20,774,041",6.2G,2.6Gb,2019-06-07
SRX5951109[accn],NextSeq 500,SRR9178494,"20,774,041",6.2G,2.6Gb,2019-06-07
SRX5950991[accn],NextSeq 500,SRR9178143,"20,818,911",6.2G,2.6Gb,2019-06-07
SRX5950991[accn],NextSeq 500,SRR9178143,"20,818,911",6.2G,2.6Gb,2019-06-07
SRX5951113[accn],NextSeq 500,SRR9178490,"20,512,404",6.1G,2.6Gb,2019-06-07
SRX5951113[accn],NextSeq 500,SRR9178490,"20,512,404",6.1G,2.6Gb,2019-06-07
SRX5950772[accn],NextSeq 500,SRR9178362,"32,509,251",9.8G,4.1Gb,2019-06-07
SRX5950772[accn],NextSeq 500,SRR9178362,"32,509,251",9.8G,4.1Gb,2019-06-07
SRX5951075[accn],NextSeq 500,SRR9178528,"35,030,392",10.5G,4.4Gb,2019-06-07
SRX5951075[accn],NextSeq 500,SRR9178528,"35,030,392",10.5G,4.4Gb,2019-06-07
SRX5951015[accn],NextSeq 500,SRR9178119,"41,084,992",12.3G,5.2Gb,2019-06-07
SRX5951015[accn],NextSeq 500,SRR9178119,"41,084,992",12.3G,5.2Gb,2019-06-07
SRX5950904[accn],NextSeq 500,SRR9178230,"31,820,147",9.5G,4.1Gb,2019-06-07
SRX5950904[accn],NextSeq 500,SRR9178230,"31,820,147",9.5G,4.1Gb,2019-06-07
SRX5950765[accn],NextSeq 500,SRR9178369,"21,205,199",6.4G,2.7Gb,2019-06-07
SRX5950765[accn],NextSeq 500,SRR9178369,"21,205,199",6.4G,2.7Gb,2019-06-07
SRX5950974[accn],NextSeq 500,SRR9178160,"26,753,177",8G,3.4Gb,2019-06-07
SRX5950974[accn],NextSeq 500,SRR9178160,"26,753,177",8G,3.4Gb,2019-06-07
SRX5951143[accn],NextSeq 500,SRR9178460,"25,282,984",7.6G,3.3Gb,2019-06-07
SRX5951143[accn],NextSeq 500,SRR9178460,"25,282,984",7.6G,3.3Gb,2019-06-07
SRX5951102[accn],NextSeq 500,SRR9178501,"24,516,671",7.3G,3.2Gb,2019-06-07
SRX5951102[accn],NextSeq 500,SRR9178501,"24,516,671",7.3G,3.2Gb,2019-06-07
SRX5951016[accn],NextSeq 500,SRR9178118,"23,116,526",6.9G,2.9Gb,2019-06-07
SRX5951016[accn],NextSeq 500,SRR9178118,"23,116,526",6.9G,2.9Gb,2019-06-07
SRX5951042[accn],NextSeq 500,SRR9178092,"36,527,907",10.9G,4.8Gb,2019-06-07
SRX5951042[accn],NextSeq 500,SRR9178092,"36,527,907",10.9G,4.8Gb,2019-06-07
SRX5951199[accn],NextSeq 500,SRR9178404,"37,462,074",11.2G,4.9Gb,2019-06-07
SRX5951199[accn],NextSeq 500,SRR9178404,"37,462,074",11.2G,4.9Gb,2019-06-07
SRX5951045[accn],NextSeq 500,SRR9178089,"27,691,577",8.3G,3.6Gb,2019-06-07
SRX5951045[accn],NextSeq 500,SRR9178089,"27,691,577",8.3G,3.6Gb,2019-06-07
SRX5951073[accn],NextSeq 500,SRR9178530,"49,711,112",14.9G,6.5Gb,2019-06-07
SRX5951073[accn],NextSeq 500,SRR9178530,"49,711,112",14.9G,6.5Gb,2019-06-07
SRX5950778[accn],NextSeq 500,SRR9178356,"36,426,091",10.9G,4.8Gb,2019-06-07
SRX5950778[accn],NextSeq 500,SRR9178356,"36,426,091",10.9G,4.8Gb,2019-06-07
SRX5951038[accn],NextSeq 500,SRR9178096,"36,423,121",10.9G,4.8Gb,2019-06-07
SRX5951038[accn],NextSeq 500,SRR9178096,"36,423,121",10.9G,4.8Gb,2019-06-07
SRX5951124[accn],NextSeq 500,SRR9178479,"36,328,510",10.9G,4.8Gb,2019-06-07
SRX5951124[accn],NextSeq 500,SRR9178479,"36,328,510",10.9G,4.8Gb,2019-06-07
SRX5951033[accn],NextSeq 500,SRR9178101,"39,810,057",11.9G,5.2Gb,2019-06-07
SRX5951033[accn],NextSeq 500,SRR9178101,"39,810,057",11.9G,5.2Gb,2019-06-07
SRX5950911[accn],NextSeq 500,SRR9178223,"25,994,747",7.8G,3.5Gb,2019-06-07
SRX5950911[accn],NextSeq 500,SRR9178223,"25,994,747",7.8G,3.5Gb,2019-06-07
SRX5950843[accn],NextSeq 500,SRR9178291,"29,462,566",8.8G,3.9Gb,2019-06-07
SRX5950843[accn],NextSeq 500,SRR9178291,"29,462,566",8.8G,3.9Gb,2019-06-07
SRX5951158[accn],NextSeq 500,SRR9178445,"35,188,543",10.5G,4.6Gb,2019-06-07
SRX5951158[accn],NextSeq 500,SRR9178445,"35,188,543",10.5G,4.6Gb,2019-06-07
SRX5950846[accn],NextSeq 500,SRR9178288,"38,897,380",11.6G,5.1Gb,2019-06-07
SRX5950846[accn],NextSeq 500,SRR9178288,"38,897,380",11.6G,5.1Gb,2019-06-07
SRX5950915[accn],NextSeq 500,SRR9178219,"35,083,177",10.5G,4.1Gb,2019-06-07
SRX5950915[accn],NextSeq 500,SRR9178219,"35,083,177",10.5G,4.1Gb,2019-06-07
SRX5950804[accn],NextSeq 500,SRR9178330,"27,747,066",8.3G,3.3Gb,2019-06-07
SRX5950804[accn],NextSeq 500,SRR9178330,"27,747,066",8.3G,3.3Gb,2019-06-07
SRX5950820[accn],NextSeq 500,SRR9178314,"32,702,802",9.8G,3.8Gb,2019-06-07
SRX5950820[accn],NextSeq 500,SRR9178314,"32,702,802",9.8G,3.8Gb,2019-06-07
SRX5950860[accn],NextSeq 500,SRR9178274,"37,980,359",11.4G,4.5Gb,2019-06-07
