experiment,instrument,run,spots,bases,size,published
SRX5950898[accn],NextSeq 500,SRR9178236,"48,405,215",14.5G,6.4Gb,2019-06-07
SRX5950925[accn],NextSeq 500,SRR9178209,"46,959,217",14.1G,6.2Gb,2019-06-07
SRX5950925[accn],NextSeq 500,SRR9178209,"46,959,217",14.1G,6.2Gb,2019-06-07
SRX5950858[accn],NextSeq 500,SRR9178276,"63,109,867",18.9G,8.5Gb,2019-06-07
SRX5950858[accn],NextSeq 500,SRR9178276,"63,109,867",18.9G,8.5Gb,2019-06-07
SRX5950916[accn],NextSeq 500,SRR9178218,"65,500,042",19.7G,8.8Gb,2019-06-07
SRX5950916[accn],NextSeq 500,SRR9178218,"65,500,042",19.7G,8.8Gb,2019-06-07
SRX5951138[accn],NextSeq 500,SRR9178465,"48,835,891",14.7G,6.4Gb,2019-06-07
SRX5951138[accn],NextSeq 500,SRR9178465,"48,835,891",14.7G,6.4Gb,2019-06-07
SRX5951166[accn],NextSeq 500,SRR9178437,"45,673,719",13.7G,6.2Gb,2019-06-07
SRX5951166[accn],NextSeq 500,SRR9178437,"45,673,719",13.7G,6.2Gb,2019-06-07
SRX5951110[accn],NextSeq 500,SRR9178493,"38,830,029",11.6G,5.2Gb,2019-06-07
SRX5951110[accn],NextSeq 500,SRR9178493,"38,830,029",11.6G,5.2Gb,2019-06-07
SRX5951197[accn],NextSeq 500,SRR9178406,"53,344,239",16G,7.1Gb,2019-06-07
SRX5951197[accn],NextSeq 500,SRR9178406,"53,344,239",16G,7.1Gb,2019-06-07
SRX5951162[accn],NextSeq 500,SRR9178441,"70,690,243",21.2G,9.6Gb,2019-06-07
SRX5951162[accn],NextSeq 500,SRR9178441,"70,690,243",21.2G,9.6Gb,2019-06-07
SRX5951046[accn],NextSeq 500,SRR9178088,"54,760,768",16.4G,7.3Gb,2019-06-07
SRX5951046[accn],NextSeq 500,SRR9178088,"54,760,768",16.4G,7.3Gb,2019-06-07
SRX5951125[accn],NextSeq 500,SRR9178478,"69,124,638",20.8G,9.4Gb,2019-06-07
SRX5951125[accn],NextSeq 500,SRR9178478,"69,124,638",20.8G,9.4Gb,2019-06-07
SRX5950857[accn],NextSeq 500,SRR9178277,"63,578,205",19.1G,8.6Gb,2019-06-07
SRX5950857[accn],NextSeq 500,SRR9178277,"63,578,205",19.1G,8.6Gb,2019-06-07
SRX5951163[accn],NextSeq 500,SRR9178440,"52,290,000",15.7G,7Gb,2019-06-07
SRX5951163[accn],NextSeq 500,SRR9178440,"52,290,000",15.7G,7Gb,2019-06-07
SRX5950975[accn],NextSeq 500,SRR9178159,"22,593,338",6.8G,2.6Gb,2019-06-07
SRX5950975[accn],NextSeq 500,SRR9178159,"22,593,338",6.8G,2.6Gb,2019-06-07
SRX5951167[accn],NextSeq 500,SRR9178436,"20,990,890",6.3G,2.4Gb,2019-06-07
SRX5951167[accn],NextSeq 500,SRR9178436,"20,990,890",6.3G,2.4Gb,2019-06-07
SRX5951116[accn],NextSeq 500,SRR9178487,"20,520,087",6.1G,2.4Gb,2019-06-07
SRX5951116[accn],NextSeq 500,SRR9178487,"20,520,087",6.1G,2.4Gb,2019-06-07
SRX5951120[accn],NextSeq 500,SRR9178483,"27,762,061",8.3G,3.2Gb,2019-06-07
SRX5951120[accn],NextSeq 500,SRR9178483,"27,762,061",8.3G,3.2Gb,2019-06-07
SRX5951193[accn],NextSeq 500,SRR9178410,"21,999,430",6.6G,2.5Gb,2019-06-07
SRX5951193[accn],NextSeq 500,SRR9178410,"21,999,430",6.6G,2.5Gb,2019-06-07
SRX5951051[accn],NextSeq 500,SRR9178083,"31,080,527",9.3G,3.6Gb,2019-06-07
SRX5951051[accn],NextSeq 500,SRR9178083,"31,080,527",9.3G,3.6Gb,2019-06-07
