experiment,instrument,run,spots,bases,size,published
SRX5951142[accn],NextSeq 500,SRR9178461,"25,644,709",7.7G,3Gb,2019-06-07
SRX5951103[accn],NextSeq 500,SRR9178500,"22,777,497",6.8G,2.7Gb,2019-06-07
SRX5951103[accn],NextSeq 500,SRR9178500,"22,777,497",6.8G,2.7Gb,2019-06-07
SRX5950856[accn],NextSeq 500,SRR9178278,"37,694,987",11.3G,4.4Gb,2019-06-07
SRX5950856[accn],NextSeq 500,SRR9178278,"37,694,987",11.3G,4.4Gb,2019-06-07
SRX5950945[accn],NextSeq 500,SRR9178189,"29,538,339",8.9G,3.5Gb,2019-06-07
SRX5950945[accn],NextSeq 500,SRR9178189,"29,538,339",8.9G,3.5Gb,2019-06-07
SRX5951023[accn],NextSeq 500,SRR9178111,"37,458,383",11.3G,4.4Gb,2019-06-07
SRX5951023[accn],NextSeq 500,SRR9178111,"37,458,383",11.3G,4.4Gb,2019-06-07
SRX5950899[accn],NextSeq 500,SRR9178235,"39,401,816",11.8G,4.6Gb,2019-06-07
SRX5950899[accn],NextSeq 500,SRR9178235,"39,401,816",11.8G,4.6Gb,2019-06-07
SRX5951140[accn],NextSeq 500,SRR9178463,"25,279,861",7.6G,3Gb,2019-06-07
SRX5951140[accn],NextSeq 500,SRR9178463,"25,279,861",7.6G,3Gb,2019-06-07
SRX2937255[accn],NextSeq 550,SRR5720299,"13,333,617",4G,1.5Gb,2018-05-01
SRX2937255[accn],NextSeq 550,SRR5720299,"13,333,617",4G,1.5Gb,2018-05-01
SRX2937254[accn],NextSeq 550,SRR5720300,"10,540,927",3.2G,1.2Gb,2018-05-01
SRX2937254[accn],NextSeq 550,SRR5720300,"10,540,927",3.2G,1.2Gb,2018-05-01
SRX2937253[accn],NextSeq 550,SRR5720301,"12,242,781",3.7G,1.3Gb,2018-05-01
SRX2937253[accn],NextSeq 550,SRR5720301,"12,242,781",3.7G,1.3Gb,2018-05-01
SRX2937252[accn],NextSeq 550,SRR5720302,"41,507,610",12.5G,4.9Gb,2018-05-01
SRX2937252[accn],NextSeq 550,SRR5720302,"41,507,610",12.5G,4.9Gb,2018-05-01
SRX2937251[accn],NextSeq 550,SRR5720303,"26,554,323",8G,3.1Gb,2018-05-01
SRX2937251[accn],NextSeq 550,SRR5720303,"26,554,323",8G,3.1Gb,2018-05-01
SRX2937250[accn],NextSeq 550,SRR5720304,"20,096,976",6G,2.4Gb,2018-05-01
SRX2937250[accn],NextSeq 550,SRR5720304,"20,096,976",6G,2.4Gb,2018-05-01
SRX2937249[accn],NextSeq 550,SRR5720305,"28,122,089",8.4G,3.3Gb,2018-05-01
SRX2937249[accn],NextSeq 550,SRR5720305,"28,122,089",8.4G,3.3Gb,2018-05-01
SRX2937248[accn],NextSeq 550,SRR5720306,"21,950,314",6.6G,2.6Gb,2018-05-01
SRX2937248[accn],NextSeq 550,SRR5720306,"21,950,314",6.6G,2.6Gb,2018-05-01
SRX2937257[accn],NextSeq 550,SRR5720297,"31,649,155",9.5G,3.6Gb,2018-05-01
SRX2937257[accn],NextSeq 550,SRR5720297,"31,649,155",9.5G,3.6Gb,2018-05-01
SRX2937256[accn],NextSeq 550,SRR5720298,"23,448,593",7G,2.7Gb,2018-05-01
SRX2937256[accn],NextSeq 550,SRR5720298,"23,448,593",7G,2.7Gb,2018-05-01
SRX2937329[accn],NextSeq 550,SRR5720225,"25,291,252",7.6G,2.9Gb,2018-05-01
SRX2937329[accn],NextSeq 550,SRR5720225,"25,291,252",7.6G,2.9Gb,2018-05-01
SRX2937328[accn],NextSeq 550,SRR5720226,"31,199,129",9.4G,3.9Gb,2018-05-01
SRX2937328[accn],NextSeq 550,SRR5720226,"31,199,129",9.4G,3.9Gb,2018-05-01
SRX2937327[accn],NextSeq 550,SRR5720227,"22,370,133",6.7G,2.6Gb,2018-05-01
SRX2937327[accn],NextSeq 550,SRR5720227,"22,370,133",6.7G,2.6Gb,2018-05-01
SRX2937326[accn],NextSeq 550,SRR5720228,"31,512,521",9.5G,3.6Gb,2018-05-01
SRX2937326[accn],NextSeq 550,SRR5720228,"31,512,521",9.5G,3.6Gb,2018-05-01
SRX2937333[accn],NextSeq 550,SRR5720221,"25,125,604",7.5G,3.1Gb,2018-05-01
SRX2937333[accn],NextSeq 550,SRR5720221,"25,125,604",7.5G,3.1Gb,2018-05-01
SRX2937332[accn],NextSeq 550,SRR5720222,"26,379,124",7.9G,3.1Gb,2018-05-01
SRX2937332[accn],NextSeq 550,SRR5720222,"26,379,124",7.9G,3.1Gb,2018-05-01
SRX2937331[accn],NextSeq 550,SRR5720223,"29,188,845",8.8G,3.4Gb,2018-05-01
SRX2937331[accn],NextSeq 550,SRR5720223,"29,188,845",8.8G,3.4Gb,2018-05-01
SRX2937330[accn],NextSeq 550,SRR5720224,"19,503,759",5.9G,2.3Gb,2018-05-01
SRX2937330[accn],NextSeq 550,SRR5720224,"19,503,759",5.9G,2.3Gb,2018-05-01
SRX2937335[accn],NextSeq 550,SRR5720219,"22,377,770",6.7G,2.6Gb,2018-05-01
SRX2937335[accn],NextSeq 550,SRR5720219,"22,377,770",6.7G,2.6Gb,2018-05-01
SRX2937334[accn],NextSeq 550,SRR5720220,"18,532,257",5.6G,2.2Gb,2018-05-01
SRX2937334[accn],NextSeq 550,SRR5720220,"18,532,257",5.6G,2.2Gb,2018-05-01
SRX2937312[accn],NextSeq 550,SRR5720242,"25,512,857",7.7G,3.1Gb,2018-05-01
SRX2937312[accn],NextSeq 550,SRR5720242,"25,512,857",7.7G,3.1Gb,2018-05-01
SRX2937313[accn],NextSeq 550,SRR5720241,"32,721,051",9.8G,3.9Gb,2018-05-01
SRX2937313[accn],NextSeq 550,SRR5720241,"32,721,051",9.8G,3.9Gb,2018-05-01
SRX2937310[accn],NextSeq 550,SRR5720244,"39,013,537",11.7G,4.7Gb,2018-05-01
SRX2937310[accn],NextSeq 550,SRR5720244,"39,013,537",11.7G,4.7Gb,2018-05-01
SRX2937311[accn],NextSeq 550,SRR5720243,"40,531,155",12.2G,4.8Gb,2018-05-01
SRX2937311[accn],NextSeq 550,SRR5720243,"40,531,155",12.2G,4.8Gb,2018-05-01
SRX2937308[accn],NextSeq 550,SRR5720246,"33,468,362",10G,4Gb,2018-05-01
SRX2937308[accn],NextSeq 550,SRR5720246,"33,468,362",10G,4Gb,2018-05-01
SRX2937309[accn],NextSeq 550,SRR5720245,"31,170,529",9.4G,3.8Gb,2018-05-01
SRX2937309[accn],NextSeq 550,SRR5720245,"31,170,529",9.4G,3.8Gb,2018-05-01
SRX2937306[accn],NextSeq 550,SRR5720248,"23,767,421",7.1G,2.9Gb,2018-05-01
SRX2937306[accn],NextSeq 550,SRR5720248,"23,767,421",7.1G,2.9Gb,2018-05-01
SRX2937307[accn],NextSeq 550,SRR5720247,"26,441,873",7.9G,3.2Gb,2018-05-01
