experiment,instrument,run,spots,bases,size,published
ERX556094[accn],Illumina HiSeq 2000,ERR599142,"166,713,789",33G,20.2Gb,2014-09-13
ERX556017[accn],Illumina HiSeq 2000,ERR598995,"261,310,241",51.2G,35.3Gb,2014-09-13
ERX556017[accn],Illumina HiSeq 2000,ERR598995,"261,310,241",51.2G,35.3Gb,2014-09-13
ERX556114[accn],Illumina HiSeq 2000,ERR598980,"203,947,262",40.1G,25.7Gb,2014-09-13
ERX556114[accn],Illumina HiSeq 2000,ERR598980,"203,947,262",40.1G,25.7Gb,2014-09-13
ERX947957[accn],Illumina HiSeq 2000,ERR868490,"171,808,384",33.8G,22Gb,2015-05-06
ERX947957[accn],Illumina HiSeq 2000,ERR868490,"171,808,384",33.8G,22Gb,2015-05-06
ERX555967[accn],Illumina HiSeq 2000,ERR599052,"269,556,882",53.5G,35.3Gb,2014-09-13
ERX555967[accn],Illumina HiSeq 2000,ERR599052,"269,556,882",53.5G,35.3Gb,2014-09-13
ERX555907[accn],Illumina HiSeq 2000,ERR598942,"179,642,130",35.5G,22.4Gb,2014-09-13
ERX555907[accn],Illumina HiSeq 2000,ERR598942,"179,642,130",35.5G,22.4Gb,2014-09-13
ERX556033[accn],Illumina HiSeq 2000,ERR599115,"218,908,096",42.9G,27.7Gb,2014-09-13
ERX556033[accn],Illumina HiSeq 2000,ERR599115,"218,908,096",42.9G,27.7Gb,2014-09-13
ERX953568[accn],Illumina HiSeq 2000,ERR873960,"90,433,621",17.9G,11.2Gb,2015-05-08
ERX953568[accn],Illumina HiSeq 2000,ERR873960,"90,433,621",17.9G,11.2Gb,2015-05-08
ERX953569[accn],Illumina HiSeq 2000,ERR873967,"117,101,104",23.3G,13.8Gb,2015-05-08
ERX953569[accn],Illumina HiSeq 2000,ERR873967,"117,101,104",23.3G,13.8Gb,2015-05-08
ERX556031[accn],Illumina HiSeq 2000,ERR598989,"185,571,189",36.5G,23.7Gb,2014-09-13
ERX556104[accn],Illumina HiSeq 2000,ERR598987,"47,664,457",9.5G,5.7Gb,2014-09-13
ERX556104[accn],Illumina HiSeq 2000,ERR598987,"47,664,457",9.5G,5.7Gb,2014-09-13
ERX556115[accn],Illumina HiSeq 2000,ERR599070,"48,178,486",9.6G,5.7Gb,2014-09-13
ERX556115[accn],Illumina HiSeq 2000,ERR599070,"48,178,486",9.6G,5.7Gb,2014-09-13
ERX555920[accn],Illumina HiSeq 2000,ERR599099,"48,399,126",9.7G,5.7Gb,2014-09-13
ERX555920[accn],Illumina HiSeq 2000,ERR599099,"48,399,126",9.7G,5.7Gb,2014-09-13
ERX556097[accn],Illumina HiSeq 2000,ERR599147,"48,293,452",9.6G,5.7Gb,2014-09-13
ERX556097[accn],Illumina HiSeq 2000,ERR599147,"48,293,452",9.6G,5.7Gb,2014-09-13
ERX555937[accn],Illumina HiSeq 2000,ERR599015,"50,273,149",10G,6.1Gb,2014-09-13
ERX555937[accn],Illumina HiSeq 2000,ERR599015,"50,273,149",10G,6.1Gb,2014-09-13
ERX555910[accn],Illumina HiSeq 2000,ERR599076,"50,282,559",10G,6Gb,2014-09-13
ERX555910[accn],Illumina HiSeq 2000,ERR599076,"50,282,559",10G,6Gb,2014-09-13
ERX556120[accn],Illumina HiSeq 2000,ERR599127,"50,405,180",10G,6Gb,2014-09-13
ERX556120[accn],Illumina HiSeq 2000,ERR599127,"50,405,180",10G,6Gb,2014-09-13
ERX556102[accn],Illumina HiSeq 2000,ERR599152,"50,396,310",10G,6Gb,2014-09-13
ERX556102[accn],Illumina HiSeq 2000,ERR599152,"50,396,310",10G,6Gb,2014-09-13
ERX948018[accn],Illumina HiSeq 2000,ERR868512,"192,076,666",38G,23.8Gb,2015-05-06
ERX948018[accn],Illumina HiSeq 2000,ERR868512,"192,076,666",38G,23.8Gb,2015-05-06
ERX556106[accn],Illumina HiSeq 2000,ERR599030,"171,139,183",34G,20.7Gb,2014-09-13
ERX556106[accn],Illumina HiSeq 2000,ERR599030,"171,139,183",34G,20.7Gb,2014-09-13
ERX555961[accn],Illumina HiSeq 2000,ERR599087,"195,911,486",38.6G,24.6Gb,2014-09-13
ERX555961[accn],Illumina HiSeq 2000,ERR599087,"195,911,486",38.6G,24.6Gb,2014-09-13
ERX556099[accn],Illumina HiSeq 2000,ERR599004,"42,908,792",8.5G,5.2Gb,2014-09-13
ERX556099[accn],Illumina HiSeq 2000,ERR599004,"42,908,792",8.5G,5.2Gb,2014-09-13
ERX556138[accn],Illumina HiSeq 2000,ERR599051,"43,410,937",8.6G,5.2Gb,2014-09-13
ERX556042[accn],Illumina HiSeq 2000,ERR599060,"43,396,387",8.6G,5.2Gb,2014-09-13
ERX555991[accn],Illumina HiSeq 2000,ERR599175,"43,396,741",8.6G,5.2Gb,2014-09-13
ERX555991[accn],Illumina HiSeq 2000,ERR599175,"43,396,741",8.6G,5.2Gb,2014-09-13
ERX948110[accn],Illumina HiSeq 2000,ERR868467,"179,865,947",35.4G,21.9Gb,2015-05-06
ERX948110[accn],Illumina HiSeq 2000,ERR868467,"179,865,947",35.4G,21.9Gb,2015-05-06
ERX556121[accn],Illumina HiSeq 2000,ERR599162,"185,167,291",36.8G,22.8Gb,2014-09-13
ERX556062[accn],Illumina HiSeq 2000,ERR599029,"171,199,015",33.9G,21.2Gb,2014-09-13
ERX556028[accn],Illumina HiSeq 2000,ERR599136,"157,141,812",31.2G,19.1Gb,2014-09-13
ERX556028[accn],Illumina HiSeq 2000,ERR599136,"157,141,812",31.2G,19.1Gb,2014-09-13
ERX556103[accn],Illumina HiSeq 2000,ERR599100,"155,790,912",30.9G,18.8Gb,2014-09-13
ERX556103[accn],Illumina HiSeq 2000,ERR599100,"155,790,912",30.9G,18.8Gb,2014-09-13
ERX555953[accn],Illumina HiSeq 2000,ERR598985,"164,118,504",32.4G,20.1Gb,2014-09-13
ERX555953[accn],Illumina HiSeq 2000,ERR598985,"164,118,504",32.4G,20.1Gb,2014-09-13
ERX948096[accn],Illumina HiSeq 2000,ERR868474,"179,903,731",35.4G,21.3Gb,2015-05-06
ERX948096[accn],Illumina HiSeq 2000,ERR868474,"179,903,731",35.4G,21.3Gb,2015-05-06
ERX953567[accn],Illumina HiSeq 2000,ERR873965,"198,838,096",35.6G,25.1Gb,2015-05-08
ERX953567[accn],Illumina HiSeq 2000,ERR873965,"198,838,096",35.6G,25.1Gb,2015-05-08
ERX947968[accn],Illumina HiSeq 2000,ERR868349,"224,612,180",43.9G,28.5Gb,2015-05-06
ERX947968[accn],Illumina HiSeq 2000,ERR868349,"224,612,180",43.9G,28.5Gb,2015-05-06
ERX948059[accn],Illumina HiSeq 2000,ERR868451,"195,222,326",38.1G,24.6Gb,2015-05-06
ERX948059[accn],Illumina HiSeq 2000,ERR868451,"195,222,326",38.1G,24.6Gb,2015-05-06
ERX556101[accn],Illumina HiSeq 2000,ERR598983,"176,015,464",34.7G,21.9Gb,2014-09-13
ERX556101[accn],Illumina HiSeq 2000,ERR598983,"176,015,464",34.7G,21.9Gb,2014-09-13
ERX555973[accn],Illumina HiSeq 2000,ERR599166,"177,112,313",35G,22.3Gb,2014-09-13
ERX555973[accn],Illumina HiSeq 2000,ERR599166,"177,112,313",35G,22.3Gb,2014-09-13
ERX948013[accn],Illumina HiSeq 2000,ERR868495,"166,673,756",32.5G,20.8Gb,2015-05-06
ERX948013[accn],Illumina HiSeq 2000,ERR868495,"166,673,756",32.5G,20.8Gb,2015-05-06
ERX556059[accn],Illumina HiSeq 2000,ERR598968,"169,471,567",33.6G,20.9Gb,2014-09-13
ERX556059[accn],Illumina HiSeq 2000,ERR598968,"169,471,567",33.6G,20.9Gb,2014-09-13
ERX556053[accn],Illumina HiSeq 2000,ERR599047,"153,923,288",30.5G,18.8Gb,2014-09-13
ERX556053[accn],Illumina HiSeq 2000,ERR599047,"153,923,288",30.5G,18.8Gb,2014-09-13
ERX948103[accn],Illumina HiSeq 2000,ERR868449,"194,159,973",38G,24.8Gb,2015-05-06
ERX948103[accn],Illumina HiSeq 2000,ERR868449,"194,159,973",38G,24.8Gb,2015-05-06
ERX555984[accn],Illumina HiSeq 2000,ERR599123,"173,119,198",34.1G,22.2Gb,2014-09-13
ERX555984[accn],Illumina HiSeq 2000,ERR599123,"173,119,198",34.1G,22.2Gb,2014-09-13
ERX556108[accn],Illumina HiSeq 2000,ERR598958,"169,860,924",33.5G,21.6Gb,2014-09-13
ERX556108[accn],Illumina HiSeq 2000,ERR598958,"169,860,924",33.5G,21.6Gb,2014-09-13
ERX948044[accn],Illumina HiSeq 2000,ERR868479,"183,737,037",36.2G,22.8Gb,2015-05-06
ERX948044[accn],Illumina HiSeq 2000,ERR868479,"183,737,037",36.2G,22.8Gb,2015-05-06
ERX556003[accn],Illumina HiSeq 2000,ERR598963,"178,945,938",35.3G,22.9Gb,2014-09-13
ERX556003[accn],Illumina HiSeq 2000,ERR598963,"178,945,938",35.3G,22.9Gb,2014-09-13
ERX556083[accn],Illumina HiSeq 2000,ERR598964,"194,032,897",38.1G,25.4Gb,2014-09-13
ERX556083[accn],Illumina HiSeq 2000,ERR598964,"194,032,897",38.1G,25.4Gb,2014-09-13
ERX947997[accn],Illumina HiSeq 2000,ERR868380,"151,039,980",29.7G,18.3Gb,2015-05-06
ERX947997[accn],Illumina HiSeq 2000,ERR868380,"151,039,980",29.7G,18.3Gb,2015-05-06
ERX556037[accn],Illumina HiSeq 2000,ERR599170,"193,884,779",38.2G,25.2Gb,2014-09-13
ERX556037[accn],Illumina HiSeq 2000,ERR599170,"193,884,779",38.2G,25.2Gb,2014-09-13
ERX555927[accn],Illumina HiSeq 2000,ERR598996,"182,027,367",36.1G,23.1Gb,2014-09-13
ERX555927[accn],Illumina HiSeq 2000,ERR598996,"182,027,367",36.1G,23.1Gb,2014-09-13
ERX555957[accn],Illumina HiSeq 2000,ERR598976,"198,143,365",39.1G,25.9Gb,2014-09-13
ERX555957[accn],Illumina HiSeq 2000,ERR598976,"198,143,365",39.1G,25.9Gb,2014-09-13
ERX556040[accn],Illumina HiSeq 2000,ERR598986,"184,769,144",36.2G,24.3Gb,2014-09-13
ERX556040[accn],Illumina HiSeq 2000,ERR598986,"184,769,144",36.2G,24.3Gb,2014-09-13
ERX556054[accn],Illumina HiSeq 2000,ERR599078,"164,620,027",32.7G,19.6Gb,2014-09-13
ERX556054[accn],Illumina HiSeq 2000,ERR599078,"164,620,027",32.7G,19.6Gb,2014-09-13
ERX556000[accn],Illumina HiSeq 2000,ERR598944,"172,787,280",34.2G,20.8Gb,2014-09-13
ERX556000[accn],Illumina HiSeq 2000,ERR598944,"172,787,280",34.2G,20.8Gb,2014-09-13
ERX947992[accn],Illumina HiSeq 2000,ERR868434,"172,870,247",34.1G,21.9Gb,2015-05-06
ERX947992[accn],Illumina HiSeq 2000,ERR868434,"172,870,247",34.1G,21.9Gb,2015-05-06
