experiment,instrument,run,spots,bases,size,published
SRX5950986[accn],NextSeq 500,SRR9178148,"35,367,513",10.6G,4.6Gb,2019-06-07
SRX5950920[accn],NextSeq 500,SRR9178214,"33,035,709",9.9G,4.3Gb,2019-06-07
SRX5950920[accn],NextSeq 500,SRR9178214,"33,035,709",9.9G,4.3Gb,2019-06-07
SRX5951098[accn],NextSeq 500,SRR9178505,"19,167,138",5.7G,2.5Gb,2019-06-07
SRX5951098[accn],NextSeq 500,SRR9178505,"19,167,138",5.7G,2.5Gb,2019-06-07
SRX5951041[accn],NextSeq 500,SRR9178093,"14,694,613",4.4G,1.5Gb,2019-06-07
SRX5951041[accn],NextSeq 500,SRR9178093,"14,694,613",4.4G,1.5Gb,2019-06-07
SRX5951165[accn],NextSeq 500,SRR9178438,"11,525,184",3.4G,1.3Gb,2019-06-07
SRX5951165[accn],NextSeq 500,SRR9178438,"11,525,184",3.4G,1.3Gb,2019-06-07
SRX5950853[accn],NextSeq 500,SRR9178281,"17,399,116",5.2G,1.9Gb,2019-06-07
SRX5950853[accn],NextSeq 500,SRR9178281,"17,399,116",5.2G,1.9Gb,2019-06-07
SRX5951198[accn],NextSeq 500,SRR9178405,"7,945,511",2.4G,828.9Mb,2019-06-07
SRX5951198[accn],NextSeq 500,SRR9178405,"7,945,511",2.4G,828.9Mb,2019-06-07
SRX5951101[accn],NextSeq 500,SRR9178502,"35,390,039",10.6G,4.6Gb,2019-06-07
SRX5951101[accn],NextSeq 500,SRR9178502,"35,390,039",10.6G,4.6Gb,2019-06-07
SRX5951141[accn],NextSeq 500,SRR9178462,"27,176,404",8.2G,3.1Gb,2019-06-07
SRX5951141[accn],NextSeq 500,SRR9178462,"27,176,404",8.2G,3.1Gb,2019-06-07
SRX5951072[accn],NextSeq 500,SRR9178531,"11,769,674",3.5G,1.2Gb,2019-06-07
SRX5951072[accn],NextSeq 500,SRR9178531,"11,769,674",3.5G,1.2Gb,2019-06-07
SRX5950817[accn],NextSeq 500,SRR9178317,"44,473,188",13.3G,5.8Gb,2019-06-07
SRX5950817[accn],NextSeq 500,SRR9178317,"44,473,188",13.3G,5.8Gb,2019-06-07
SRX5950924[accn],NextSeq 500,SRR9178210,"22,935,212",6.8G,2.3Gb,2019-06-07
SRX5950924[accn],NextSeq 500,SRR9178210,"22,935,212",6.8G,2.3Gb,2019-06-07
SRX5950902[accn],NextSeq 500,SRR9178232,"16,661,325",5G,1.7Gb,2019-06-07
SRX5950902[accn],NextSeq 500,SRR9178232,"16,661,325",5G,1.7Gb,2019-06-07
SRX5950802[accn],NextSeq 500,SRR9178332,"36,377,396",10.9G,4.1Gb,2019-06-07
SRX5950802[accn],NextSeq 500,SRR9178332,"36,377,396",10.9G,4.1Gb,2019-06-07
SRX5951021[accn],NextSeq 500,SRR9178113,"19,935,228",6G,2.1Gb,2019-06-07
SRX5951021[accn],NextSeq 500,SRR9178113,"19,935,228",6G,2.1Gb,2019-06-07
SRX5951019[accn],NextSeq 500,SRR9178115,"42,730,158",12.8G,4.9Gb,2019-06-07
SRX5951019[accn],NextSeq 500,SRR9178115,"42,730,158",12.8G,4.9Gb,2019-06-07
SRX5950942[accn],NextSeq 500,SRR9178192,"16,798,255",5G,1.7Gb,2019-06-07
SRX5950942[accn],NextSeq 500,SRR9178192,"16,798,255",5G,1.7Gb,2019-06-07
SRX5950939[accn],NextSeq 500,SRR9178195,"37,526,507",11.1G,4.2Gb,2019-06-07
SRX5950939[accn],NextSeq 500,SRR9178195,"37,526,507",11.1G,4.2Gb,2019-06-07
SRX5951164[accn],NextSeq 500,SRR9178439,"55,282,190",16.6G,7.2Gb,2019-06-07
SRX5951164[accn],NextSeq 500,SRR9178439,"55,282,190",16.6G,7.2Gb,2019-06-07
SRX5950819[accn],NextSeq 500,SRR9178315,"50,425,686",15.1G,6.5Gb,2019-06-07
SRX5950819[accn],NextSeq 500,SRR9178315,"50,425,686",15.1G,6.5Gb,2019-06-07
SRX5951123[accn],NextSeq 500,SRR9178480,"40,186,063",12.1G,5.2Gb,2019-06-07
SRX5951123[accn],NextSeq 500,SRR9178480,"40,186,063",12.1G,5.2Gb,2019-06-07
SRX5950799[accn],NextSeq 500,SRR9178335,"29,884,402",8.9G,3.9Gb,2019-06-07
SRX5950799[accn],NextSeq 500,SRR9178335,"29,884,402",8.9G,3.9Gb,2019-06-07
SRX5950766[accn],NextSeq 500,SRR9178368,"37,108,681",11.1G,5Gb,2019-06-07
SRX5950766[accn],NextSeq 500,SRR9178368,"37,108,681",11.1G,5Gb,2019-06-07
SRX5951028[accn],NextSeq 500,SRR9178106,"33,016,513",9.9G,4.3Gb,2019-06-07
SRX5951028[accn],NextSeq 500,SRR9178106,"33,016,513",9.9G,4.3Gb,2019-06-07
SRX5950842[accn],NextSeq 500,SRR9178292,"41,774,338",12.5G,5.6Gb,2019-06-07
SRX5950842[accn],NextSeq 500,SRR9178292,"41,774,338",12.5G,5.6Gb,2019-06-07
SRX5950923[accn],NextSeq 500,SRR9178211,"39,375,718",11.8G,5.3Gb,2019-06-07
SRX5950923[accn],NextSeq 500,SRR9178211,"39,375,718",11.8G,5.3Gb,2019-06-07
SRX5950801[accn],NextSeq 500,SRR9178333,"30,892,508",9.2G,4Gb,2019-06-07
SRX5950801[accn],NextSeq 500,SRR9178333,"30,892,508",9.2G,4Gb,2019-06-07
SRX5950921[accn],NextSeq 500,SRR9178213,"29,284,931",8.7G,3.8Gb,2019-06-07
SRX5950921[accn],NextSeq 500,SRR9178213,"29,284,931",8.7G,3.8Gb,2019-06-07
SRX5950776[accn],NextSeq 500,SRR9178358,"36,387,036",10.8G,4.9Gb,2019-06-07
SRX5950776[accn],NextSeq 500,SRR9178358,"36,387,036",10.8G,4.9Gb,2019-06-07
SRX5951022[accn],NextSeq 500,SRR9178112,"30,725,421",9.2G,4Gb,2019-06-07
SRX5951022[accn],NextSeq 500,SRR9178112,"30,725,421",9.2G,4Gb,2019-06-07
SRX5950859[accn],NextSeq 500,SRR9178275,"38,965,157",11.6G,5.2Gb,2019-06-07
SRX5950859[accn],NextSeq 500,SRR9178275,"38,965,157",11.6G,5.2Gb,2019-06-07
SRX5951100[accn],NextSeq 500,SRR9178503,"37,347,928",11.1G,5Gb,2019-06-07
SRX5951100[accn],NextSeq 500,SRR9178503,"37,347,928",11.1G,5Gb,2019-06-07
SRX5951074[accn],NextSeq 500,SRR9178529,"29,831,578",8.9G,3.9Gb,2019-06-07
SRX5951074[accn],NextSeq 500,SRR9178529,"29,831,578",8.9G,3.9Gb,2019-06-07
SRX5950903[accn],NextSeq 500,SRR9178231,"37,830,145",11.2G,5.1Gb,2019-06-07
SRX5950903[accn],NextSeq 500,SRR9178231,"37,830,145",11.2G,5.1Gb,2019-06-07
SRX5950764[accn],NextSeq 500,SRR9178370,"30,016,342",8.9G,3.9Gb,2019-06-07
SRX5950764[accn],NextSeq 500,SRR9178370,"30,016,342",8.9G,3.9Gb,2019-06-07
SRX5950905[accn],NextSeq 500,SRR9178229,"32,639,190",9.7G,4.3Gb,2019-06-07
SRX5950905[accn],NextSeq 500,SRR9178229,"32,639,190",9.7G,4.3Gb,2019-06-07
SRX5951108[accn],NextSeq 500,SRR9178495,"40,003,145",11.9G,5.4Gb,2019-06-07
SRX5951108[accn],NextSeq 500,SRR9178495,"40,003,145",11.9G,5.4Gb,2019-06-07
SRX5950944[accn],NextSeq 500,SRR9178190,"31,933,255",9.4G,4.1Gb,2019-06-07
SRX5950944[accn],NextSeq 500,SRR9178190,"31,933,255",9.4G,4.1Gb,2019-06-07
SRX5951105[accn],NextSeq 500,SRR9178498,"40,296,119",11.9G,5.4Gb,2019-06-07
SRX5951105[accn],NextSeq 500,SRR9178498,"40,296,119",11.9G,5.4Gb,2019-06-07
SRX5950973[accn],NextSeq 500,SRR9178161,"40,727,871",12.2G,5.3Gb,2019-06-07
SRX5950973[accn],NextSeq 500,SRR9178161,"40,727,871",12.2G,5.3Gb,2019-06-07
SRX5950937[accn],NextSeq 500,SRR9178197,"50,820,791",15.2G,6.9Gb,2019-06-07
SRX5950937[accn],NextSeq 500,SRR9178197,"50,820,791",15.2G,6.9Gb,2019-06-07
SRX5950906[accn],NextSeq 500,SRR9178228,"41,602,784",12.4G,5.5Gb,2019-06-07
SRX5950906[accn],NextSeq 500,SRR9178228,"41,602,784",12.4G,5.5Gb,2019-06-07
SRX5950762[accn],NextSeq 500,SRR9178372,"50,686,289",15.1G,6.9Gb,2019-06-07
SRX5950762[accn],NextSeq 500,SRR9178372,"50,686,289",15.1G,6.9Gb,2019-06-07
SRX5950946[accn],NextSeq 500,SRR9178188,"37,223,825",11.1G,4.9Gb,2019-06-07
SRX5950946[accn],NextSeq 500,SRR9178188,"37,223,825",11.1G,4.9Gb,2019-06-07
SRX5951104[accn],NextSeq 500,SRR9178499,"45,674,498",13.6G,6.2Gb,2019-06-07
SRX5951104[accn],NextSeq 500,SRR9178499,"45,674,498",13.6G,6.2Gb,2019-06-07
SRX5950797[accn],NextSeq 500,SRR9178337,"42,721,757",12.8G,5.6Gb,2019-06-07
SRX5950797[accn],NextSeq 500,SRR9178337,"42,721,757",12.8G,5.6Gb,2019-06-07
SRX5950781[accn],NextSeq 500,SRR9178353,"53,677,625",16.1G,7.2Gb,2019-06-07
SRX5950781[accn],NextSeq 500,SRR9178353,"53,677,625",16.1G,7.2Gb,2019-06-07
SRX5951030[accn],NextSeq 500,SRR9178104,"50,485,820",15.1G,6.6Gb,2019-06-07
SRX5951030[accn],NextSeq 500,SRR9178104,"50,485,820",15.1G,6.6Gb,2019-06-07
SRX5950897[accn],NextSeq 500,SRR9178237,"68,845,812",20.6G,9.2Gb,2019-06-07
SRX5950897[accn],NextSeq 500,SRR9178237,"68,845,812",20.6G,9.2Gb,2019-06-07
SRX5951031[accn],NextSeq 500,SRR9178103,"61,828,541",18.5G,8.4Gb,2019-06-07
SRX5951031[accn],NextSeq 500,SRR9178103,"61,828,541",18.5G,8.4Gb,2019-06-07
