experiment,instrument,run,spots,bases,size,published
ERX555981[accn],Illumina HiSeq 2000,ERR599083,"50,848,286",10.1G,6.1Gb,2014-09-13
ERX556013[accn],Illumina HiSeq 2000,ERR599096,"49,291,121",9.8G,6Gb,2014-09-13
ERX556013[accn],Illumina HiSeq 2000,ERR599096,"49,291,121",9.8G,6Gb,2014-09-13
ERX552265[accn],Illumina HiSeq 2000,ERR594309,"75,988,955",15G,9.3Gb,2014-09-07
ERX552265[accn],Illumina HiSeq 2000,ERR594309,"75,988,955",15G,9.3Gb,2014-09-07
ERX552242[accn],Illumina HiSeq 2000,ERR594305,"136,551,265",27.1G,16.2Gb,2014-09-07
ERX552242[accn],Illumina HiSeq 2000,ERR594305,"136,551,265",27.1G,16.2Gb,2014-09-07
ERX552293[accn],Illumina HiSeq 2000,ERR594322,"155,930,208",30.9G,19.1Gb,2014-09-07
ERX552293[accn],Illumina HiSeq 2000,ERR594322,"155,930,208",30.9G,19.1Gb,2014-09-07
ERX953564[accn],Illumina HiSeq 2000,ERR873959,"159,927,867",31.5G,19.9Gb,2015-05-08
ERX953564[accn],Illumina HiSeq 2000,ERR873959,"159,927,867",31.5G,19.9Gb,2015-05-08
ERX953570[accn],Illumina HiSeq 2000,ERR873968,"125,769,242",24.6G,16.3Gb,2015-05-08
ERX953570[accn],Illumina HiSeq 2000,ERR873968,"125,769,242",24.6G,16.3Gb,2015-05-08
ERX555932[accn],Illumina HiSeq 2000,ERR598948,"153,076,525",30.4G,18.4Gb,2014-09-13
ERX555932[accn],Illumina HiSeq 2000,ERR598948,"153,076,525",30.4G,18.4Gb,2014-09-13
ERX552279[accn],Illumina HiSeq 2000,ERR594284,"79,955,011",15.9G,9.7Gb,2014-09-07
ERX552279[accn],Illumina HiSeq 2000,ERR594284,"79,955,011",15.9G,9.7Gb,2014-09-07
ERX552243[accn],Illumina HiSeq 2000,ERR594304,"162,027,499",32.4G,19Gb,2014-09-07
ERX552243[accn],Illumina HiSeq 2000,ERR594304,"162,027,499",32.4G,19Gb,2014-09-07
ERX552275[accn],Illumina HiSeq 2000,ERR594301,"173,630,560",34.5G,21.5Gb,2014-09-07
ERX552275[accn],Illumina HiSeq 2000,ERR594301,"173,630,560",34.5G,21.5Gb,2014-09-07
ERX556126[accn],Illumina HiSeq 2000,ERR599160,"171,142,153",33.7G,21.3Gb,2014-09-13
ERX556126[accn],Illumina HiSeq 2000,ERR599160,"171,142,153",33.7G,21.3Gb,2014-09-13
ERX552297[accn],Illumina HiSeq 2000,ERR594326,"187,470,886",37.4G,23.4Gb,2014-09-07
ERX552297[accn],Illumina HiSeq 2000,ERR594326,"187,470,886",37.4G,23.4Gb,2014-09-07
ERX552262[accn],Illumina HiSeq 2000,ERR594347,"187,306,308",37G,23.8Gb,2014-09-07
ERX552262[accn],Illumina HiSeq 2000,ERR594347,"187,306,308",37G,23.8Gb,2014-09-07
ERX555950[accn],Illumina HiSeq 2000,ERR598956,"47,014,161",9.4G,5.6Gb,2014-09-13
ERX555950[accn],Illumina HiSeq 2000,ERR598956,"47,014,161",9.4G,5.6Gb,2014-09-13
ERX556093[accn],Illumina HiSeq 2000,ERR598998,"45,900,975",9.2G,5.4Gb,2014-09-13
ERX556093[accn],Illumina HiSeq 2000,ERR598998,"45,900,975",9.2G,5.4Gb,2014-09-13
ERX555921[accn],Illumina HiSeq 2000,ERR599117,"45,647,490",9.1G,5.3Gb,2014-09-13
ERX555921[accn],Illumina HiSeq 2000,ERR599117,"45,647,490",9.1G,5.3Gb,2014-09-13
ERX555994[accn],Illumina HiSeq 2000,ERR599157,"45,492,924",9.1G,5.5Gb,2014-09-13
ERX555994[accn],Illumina HiSeq 2000,ERR599157,"45,492,924",9.1G,5.5Gb,2014-09-13
ERX552280[accn],Illumina HiSeq 2000,ERR594293,"95,420,603",19G,11.8Gb,2014-09-07
ERX552280[accn],Illumina HiSeq 2000,ERR594293,"95,420,603",19G,11.8Gb,2014-09-07
ERX552281[accn],Illumina HiSeq 2000,ERR594337,"168,950,666",33.7G,20.6Gb,2014-09-07
ERX552281[accn],Illumina HiSeq 2000,ERR594337,"168,950,666",33.7G,20.6Gb,2014-09-07
ERX552268[accn],Illumina HiSeq 2000,ERR594319,"164,864,186",32.6G,20.6Gb,2014-09-07
ERX552268[accn],Illumina HiSeq 2000,ERR594319,"164,864,186",32.6G,20.6Gb,2014-09-07
ERX556117[accn],Illumina HiSeq 2000,ERR599036,"45,847,605",9.2G,5.4Gb,2014-09-13
ERX556117[accn],Illumina HiSeq 2000,ERR599036,"45,847,605",9.2G,5.4Gb,2014-09-13
ERX556057[accn],Illumina HiSeq 2000,ERR599069,"47,088,422",9.4G,5.6Gb,2014-09-13
ERX556057[accn],Illumina HiSeq 2000,ERR599069,"47,088,422",9.4G,5.6Gb,2014-09-13
ERX555929[accn],Illumina HiSeq 2000,ERR599080,"45,657,442",9.1G,5.3Gb,2014-09-13
ERX555929[accn],Illumina HiSeq 2000,ERR599080,"45,657,442",9.1G,5.3Gb,2014-09-13
ERX556076[accn],Illumina HiSeq 2000,ERR599151,"45,616,413",9.1G,5.5Gb,2014-09-13
ERX556076[accn],Illumina HiSeq 2000,ERR599151,"45,616,413",9.1G,5.5Gb,2014-09-13
ERX552278[accn],Illumina HiSeq 2000,ERR594287,"79,690,789",15.8G,9.5Gb,2014-09-07
