experiment,instrument,run,spots,bases,size,published
SRX2937219[accn],NextSeq 550,SRR5720335,"34,743,413",10.4G,4.2Gb,2018-05-01
SRX2937219[accn],NextSeq 550,SRR5720335,"34,743,413",10.4G,4.2Gb,2018-05-01
SRX2937212[accn],NextSeq 550,SRR5720342,"31,522,929",9.5G,3.8Gb,2018-05-01
SRX2937212[accn],NextSeq 550,SRR5720342,"31,522,929",9.5G,3.8Gb,2018-05-01
SRX2937211[accn],NextSeq 550,SRR5720343,"28,856,326",8.7G,3.6Gb,2018-05-01
SRX2937211[accn],NextSeq 550,SRR5720343,"28,856,326",8.7G,3.6Gb,2018-05-01
SRX2937320[accn],NextSeq 550,SRR5720234,"26,654,563",8G,3.3Gb,2018-05-01
SRX2937320[accn],NextSeq 550,SRR5720234,"26,654,563",8G,3.3Gb,2018-05-01
SRX2937321[accn],NextSeq 550,SRR5720233,"20,031,665",6G,2.5Gb,2018-05-01
SRX2937321[accn],NextSeq 550,SRR5720233,"20,031,665",6G,2.5Gb,2018-05-01
SRX2937322[accn],NextSeq 550,SRR5720232,"27,855,946",8.4G,3.2Gb,2018-05-01
SRX2937322[accn],NextSeq 550,SRR5720232,"27,855,946",8.4G,3.2Gb,2018-05-01
SRX2937323[accn],NextSeq 550,SRR5720231,"27,754,160",8.3G,3.4Gb,2018-05-01
SRX2937323[accn],NextSeq 550,SRR5720231,"27,754,160",8.3G,3.4Gb,2018-05-01
SRX2937316[accn],NextSeq 550,SRR5720238,"26,097,780",7.8G,3.3Gb,2018-05-01
SRX2937316[accn],NextSeq 550,SRR5720238,"26,097,780",7.8G,3.3Gb,2018-05-01
SRX2937317[accn],NextSeq 550,SRR5720237,"27,661,750",8.3G,3.5Gb,2018-05-01
SRX2937317[accn],NextSeq 550,SRR5720237,"27,661,750",8.3G,3.5Gb,2018-05-01
SRX2937318[accn],NextSeq 550,SRR5720236,"40,112,857",12G,4.9Gb,2018-05-01
SRX2937318[accn],NextSeq 550,SRR5720236,"40,112,857",12G,4.9Gb,2018-05-01
SRX2937319[accn],NextSeq 550,SRR5720235,"13,300,975",4G,1.6Gb,2018-05-01
SRX2937319[accn],NextSeq 550,SRR5720235,"13,300,975",4G,1.6Gb,2018-05-01
SRX2937324[accn],NextSeq 550,SRR5720230,"33,880,679",10.2G,4.2Gb,2018-05-01
SRX2937324[accn],NextSeq 550,SRR5720230,"33,880,679",10.2G,4.2Gb,2018-05-01
SRX2937325[accn],NextSeq 550,SRR5720229,"33,805,701",10.1G,4.2Gb,2018-05-01
SRX2937325[accn],NextSeq 550,SRR5720229,"33,805,701",10.1G,4.2Gb,2018-05-01
SRX2937268[accn],NextSeq 550,SRR5720286,"12,732,789",3.8G,1.5Gb,2018-05-01
SRX2937268[accn],NextSeq 550,SRR5720286,"12,732,789",3.8G,1.5Gb,2018-05-01
SRX2937269[accn],NextSeq 550,SRR5720285,"40,710,568",12.2G,4.9Gb,2018-05-01
SRX2937269[accn],NextSeq 550,SRR5720285,"40,710,568",12.2G,4.9Gb,2018-05-01
SRX2937299[accn],NextSeq 550,SRR5720255,"37,218,319",11.2G,4.6Gb,2018-05-01
SRX2937299[accn],NextSeq 550,SRR5720255,"37,218,319",11.2G,4.6Gb,2018-05-01
SRX2937298[accn],NextSeq 550,SRR5720256,"35,777,935",10.7G,4.4Gb,2018-05-01
SRX2937298[accn],NextSeq 550,SRR5720256,"35,777,935",10.7G,4.4Gb,2018-05-01
SRX2937305[accn],NextSeq 550,SRR5720249,"42,389,421",12.7G,5.1Gb,2018-05-01
SRX2937305[accn],NextSeq 550,SRR5720249,"42,389,421",12.7G,5.1Gb,2018-05-01
SRX2937304[accn],NextSeq 550,SRR5720250,"47,629,264",14.3G,5.8Gb,2018-05-01
SRX2937304[accn],NextSeq 550,SRR5720250,"47,629,264",14.3G,5.8Gb,2018-05-01
SRX2937303[accn],NextSeq 550,SRR5720251,"17,374,067",5.2G,2.2Gb,2018-05-01
SRX2937303[accn],NextSeq 550,SRR5720251,"17,374,067",5.2G,2.2Gb,2018-05-01
SRX2937302[accn],NextSeq 550,SRR5720252,"30,163,252",9G,3.7Gb,2018-05-01
SRX2937302[accn],NextSeq 550,SRR5720252,"30,163,252",9G,3.7Gb,2018-05-01
SRX2937210[accn],NextSeq 550,SRR5720344,"23,249,078",7G,2.9Gb,2018-05-01
SRX2937210[accn],NextSeq 550,SRR5720344,"23,249,078",7G,2.9Gb,2018-05-01
SRX2937247[accn],NextSeq 550,SRR5720307,"18,278,548",5.5G,2.2Gb,2018-05-01
SRX2937247[accn],NextSeq 550,SRR5720307,"18,278,548",5.5G,2.2Gb,2018-05-01
SRX2937274[accn],NextSeq 550,SRR5720280,"37,895,083",11.4G,4.9Gb,2018-05-01
SRX2937274[accn],NextSeq 550,SRR5720280,"37,895,083",11.4G,4.9Gb,2018-05-01
SRX2937275[accn],NextSeq 550,SRR5720279,"31,018,220",9.3G,4Gb,2018-05-01
SRX2937275[accn],NextSeq 550,SRR5720279,"31,018,220",9.3G,4Gb,2018-05-01
SRX2937276[accn],NextSeq 550,SRR5720278,"24,861,137",7.5G,3.2Gb,2018-05-01
SRX2937276[accn],NextSeq 550,SRR5720278,"24,861,137",7.5G,3.2Gb,2018-05-01
SRX2937277[accn],NextSeq 550,SRR5720277,"30,565,919",9.2G,3.9Gb,2018-05-01
SRX2937277[accn],NextSeq 550,SRR5720277,"30,565,919",9.2G,3.9Gb,2018-05-01
SRX2937270[accn],NextSeq 550,SRR5720284,"32,686,035",9.8G,4.2Gb,2018-05-01
SRX2937270[accn],NextSeq 550,SRR5720284,"32,686,035",9.8G,4.2Gb,2018-05-01
SRX2937271[accn],NextSeq 550,SRR5720283,"21,770,198",6.5G,2.6Gb,2018-05-01
SRX2937271[accn],NextSeq 550,SRR5720283,"21,770,198",6.5G,2.6Gb,2018-05-01
SRX2937272[accn],NextSeq 550,SRR5720282,"31,485,248",9.4G,4Gb,2018-05-01
SRX2937272[accn],NextSeq 550,SRR5720282,"31,485,248",9.4G,4Gb,2018-05-01
SRX2937273[accn],NextSeq 550,SRR5720281,"33,845,957",10.2G,4.4Gb,2018-05-01
SRX2937273[accn],NextSeq 550,SRR5720281,"33,845,957",10.2G,4.4Gb,2018-05-01
SRX2937278[accn],NextSeq 550,SRR5720276,"24,558,490",7.4G,3.2Gb,2018-05-01
SRX2937278[accn],NextSeq 550,SRR5720276,"24,558,490",7.4G,3.2Gb,2018-05-01
SRX2937279[accn],NextSeq 550,SRR5720275,"39,505,982",11.9G,5Gb,2018-05-01
SRX2937279[accn],NextSeq 550,SRR5720275,"39,505,982",11.9G,5Gb,2018-05-01
SRX2937293[accn],NextSeq 550,SRR5720261,"29,153,986",8.7G,3.7Gb,2018-05-01
SRX2937293[accn],NextSeq 550,SRR5720261,"29,153,986",8.7G,3.7Gb,2018-05-01
SRX2937292[accn],NextSeq 550,SRR5720262,"22,769,159",6.8G,2.9Gb,2018-05-01
SRX2937292[accn],NextSeq 550,SRR5720262,"22,769,159",6.8G,2.9Gb,2018-05-01
SRX2937291[accn],NextSeq 550,SRR5720263,"31,385,119",9.4G,4Gb,2018-05-01
SRX2937291[accn],NextSeq 550,SRR5720263,"31,385,119",9.4G,4Gb,2018-05-01
SRX2937290[accn],NextSeq 550,SRR5720264,"18,682,062",5.6G,2.4Gb,2018-05-01
SRX2937290[accn],NextSeq 550,SRR5720264,"18,682,062",5.6G,2.4Gb,2018-05-01
SRX2937297[accn],NextSeq 550,SRR5720257,"14,907,037",4.5G,1.7Gb,2018-05-01
SRX2937297[accn],NextSeq 550,SRR5720257,"14,907,037",4.5G,1.7Gb,2018-05-01
SRX2937296[accn],NextSeq 550,SRR5720258,"21,495,920",6.4G,2.5Gb,2018-05-01
SRX2937296[accn],NextSeq 550,SRR5720258,"21,495,920",6.4G,2.5Gb,2018-05-01
SRX2937295[accn],NextSeq 550,SRR5720259,"64,480,797",19.3G,8.3Gb,2018-05-01
SRX2937295[accn],NextSeq 550,SRR5720259,"64,480,797",19.3G,8.3Gb,2018-05-01
SRX2937294[accn],NextSeq 550,SRR5720260,"12,568,946",3.8G,1.5Gb,2018-05-01
SRX2937294[accn],NextSeq 550,SRR5720260,"12,568,946",3.8G,1.5Gb,2018-05-01
SRX2937301[accn],NextSeq 550,SRR5720253,"20,315,575",6.1G,2.3Gb,2018-05-01
SRX2937301[accn],NextSeq 550,SRR5720253,"20,315,575",6.1G,2.3Gb,2018-05-01
SRX2937300[accn],NextSeq 550,SRR5720254,"51,753,735",15.5G,6.7Gb,2018-05-01
SRX2937300[accn],NextSeq 550,SRR5720254,"51,753,735",15.5G,6.7Gb,2018-05-01
SRX2937233[accn],NextSeq 550,SRR5720321,"22,106,643",6.6G,2.6Gb,2018-05-01
SRX2937233[accn],NextSeq 550,SRR5720321,"22,106,643",6.6G,2.6Gb,2018-05-01
SRX2937234[accn],NextSeq 550,SRR5720320,"52,129,751",15.6G,6.7Gb,2018-05-01
SRX2937234[accn],NextSeq 550,SRR5720320,"52,129,751",15.6G,6.7Gb,2018-05-01
SRX2937231[accn],NextSeq 550,SRR5720323,"37,421,267",11.2G,4.4Gb,2018-05-01
SRX2937231[accn],NextSeq 550,SRR5720323,"37,421,267",11.2G,4.4Gb,2018-05-01
SRX2937232[accn],NextSeq 550,SRR5720322,"32,403,141",9.7G,3.8Gb,2018-05-01
SRX2937232[accn],NextSeq 550,SRR5720322,"32,403,141",9.7G,3.8Gb,2018-05-01
SRX2937235[accn],NextSeq 550,SRR5720319,"33,499,189",10G,3.9Gb,2018-05-01
SRX2937235[accn],NextSeq 550,SRR5720319,"33,499,189",10G,3.9Gb,2018-05-01
SRX2937236[accn],NextSeq 550,SRR5720318,"34,361,585",10.3G,4Gb,2018-05-01
SRX2937236[accn],NextSeq 550,SRR5720318,"34,361,585",10.3G,4Gb,2018-05-01
SRX3595720[accn],NextSeq 550,SRR6507279,"50,232,751",15.1G,5.8Gb,2018-05-01
SRX3595720[accn],NextSeq 550,SRR6507279,"50,232,751",15.1G,5.8Gb,2018-05-01
