experiment,instrument,run,spots,bases,size,published
ERX289004[accn],Illumina HiSeq 2000,ERR315856,"89,259,915",18.6G,10Gb,2013-08-09
ERX289004[accn],Illumina HiSeq 2000,ERR315856,"89,259,915",18.6G,10Gb,2013-08-09
ERX140286[accn],454 GS FLX Titanium,ERR164409,"258,615",147.6M,324.7Mb,2013-12-25
ERX289007[accn],Illumina HiSeq 2000,ERR315858,"37,472,639",7.9G,4.6Gb,2013-12-25
ERX289007[accn],Illumina HiSeq 2000,ERR315858,"37,472,639",7.9G,4.6Gb,2013-12-25
ERX289009[accn],Illumina HiSeq 2000,ERR315861,"37,310,366",7.9G,4.5Gb,2013-12-25
ERX289009[accn],Illumina HiSeq 2000,ERR315861,"37,310,366",7.9G,4.5Gb,2013-12-25
ERX140285[accn],454 GS FLX Titanium,ERR164408,"274,932",158.1M,344.5Mb,2013-12-25
ERX289006[accn],Illumina HiSeq 2000,ERR315859,"37,184,688",7.9G,4.5Gb,2013-12-25
ERX289006[accn],Illumina HiSeq 2000,ERR315859,"37,184,688",7.9G,4.5Gb,2013-12-25
ERX289008[accn],Illumina HiSeq 2000,ERR315860,"36,515,588",7.8G,4.4Gb,2013-12-25
ERX289008[accn],Illumina HiSeq 2000,ERR315860,"36,515,588",7.8G,4.4Gb,2013-12-25
ERX140284[accn],454 GS FLX Titanium,ERR164407,"282,806",161.9M,354.4Mb,2013-12-25
ERX289010[accn],Illumina HiSeq 2000,ERR315862,"157,929,848",31.4G,18.3Gb,2013-12-25
ERX289010[accn],Illumina HiSeq 2000,ERR315862,"157,929,848",31.4G,18.3Gb,2013-12-25
ERX289011[accn],Illumina HiSeq 2000,ERR315863,"81,462,943",16G,9.8Gb,2013-12-25
ERX289011[accn],Illumina HiSeq 2000,ERR315863,"81,462,943",16G,9.8Gb,2013-12-25
ERX291766[accn],Illumina Genome Analyzer IIx,ERR318618,"78,363,621",15.9G,8.4Gb,2013-12-25
ERX291766[accn],Illumina Genome Analyzer IIx,ERR318618,"78,363,621",15.9G,8.4Gb,2013-12-25
ERX291768[accn],Illumina Genome Analyzer IIx,ERR318619,"7,753,939",1.2G,741.8Mb,2013-12-25
ERX291768[accn],Illumina Genome Analyzer IIx,ERR318619,"7,753,939",1.2G,741.8Mb,2013-12-25
ERX291769[accn],Illumina Genome Analyzer IIx,ERR318620,"79,459,583",16.1G,8.6Gb,2013-12-25
ERX291769[accn],Illumina Genome Analyzer IIx,ERR318620,"79,459,583",16.1G,8.6Gb,2013-12-25
ERX291767[accn],Illumina Genome Analyzer IIx,ERR318621,"7,841,374",1.2G,773.3Mb,2013-12-25
ERX291767[accn],Illumina Genome Analyzer IIx,ERR318621,"7,841,374",1.2G,773.3Mb,2013-12-25
ERX140299[accn],454 GS FLX Titanium,ERR164424,"72,886",40.9M,89.7Mb,2013-04-18
ERX555964[accn],Illumina HiSeq 2000,ERR598955,"173,346,004",34.4G,22Gb,2014-09-13
ERX555964[accn],Illumina HiSeq 2000,ERR598955,"173,346,004",34.4G,22Gb,2014-09-13
ERX556024[accn],Illumina HiSeq 2000,ERR599003,"28,822,442",5.5G,3.3Gb,2014-09-13
ERX556024[accn],Illumina HiSeq 2000,ERR599003,"28,822,442",5.5G,3.3Gb,2014-09-13
ERX140295[accn],454 GS FLX Titanium,ERR164420,"189,854",106.7M,231.9Mb,2013-04-18
ERX556067[accn],Illumina HiSeq 2000,ERR598950,"31,054,711",6.2G,3.6Gb,2014-09-13
ERX556067[accn],Illumina HiSeq 2000,ERR598950,"31,054,711",6.2G,3.6Gb,2014-09-13
ERX555913[accn],Illumina HiSeq 2000,ERR599095,"207,091,837",40.6G,27.8Gb,2014-09-13
ERX555913[accn],Illumina HiSeq 2000,ERR599095,"207,091,837",40.6G,27.8Gb,2014-09-13
ERX140302[accn],454 GS FLX Titanium,ERR164413,"134,941",74.4M,162.5Mb,2013-04-18
ERX552288[accn],Illumina HiSeq 2000,ERR594288,"147,450,847",28.8G,18.9Gb,2014-09-07
ERX552288[accn],Illumina HiSeq 2000,ERR594288,"147,450,847",28.8G,18.9Gb,2014-09-07
ERX552251[accn],Illumina HiSeq 2000,ERR594316,"24,490,102",4.9G,2.8Gb,2014-09-07
ERX552251[accn],Illumina HiSeq 2000,ERR594316,"24,490,102",4.9G,2.8Gb,2014-09-07
ERX552248[accn],Illumina HiSeq 2000,ERR594317,"72,867,764",14.3G,9.4Gb,2014-09-07
ERX552248[accn],Illumina HiSeq 2000,ERR594317,"72,867,764",14.3G,9.4Gb,2014-09-07
ERX552291[accn],Illumina HiSeq 2000,ERR594315,"29,758,680",6G,3.4Gb,2014-09-07
ERX552291[accn],Illumina HiSeq 2000,ERR594315,"29,758,680",6G,3.4Gb,2014-09-07
ERX552303[accn],Illumina HiSeq 2000,ERR594329,"178,517,957",35.2G,22.3Gb,2014-09-07
ERX552303[accn],Illumina HiSeq 2000,ERR594329,"178,517,957",35.2G,22.3Gb,2014-09-07
ERX555914[accn],Illumina HiSeq 2000,ERR598993,"179,380,493",35.7G,22.7Gb,2014-09-13
ERX555914[accn],Illumina HiSeq 2000,ERR598993,"179,380,493",35.7G,22.7Gb,2014-09-13
ERX556002[accn],Illumina HiSeq 2000,ERR599140,"28,107,661",5.4G,3.3Gb,2014-09-13
ERX556002[accn],Illumina HiSeq 2000,ERR599140,"28,107,661",5.4G,3.3Gb,2014-09-13
ERX556039[accn],Illumina HiSeq 2000,ERR599073,"34,674,548",6.9G,3.9Gb,2014-09-13
ERX556039[accn],Illumina HiSeq 2000,ERR599073,"34,674,548",6.9G,3.9Gb,2014-09-13
ERX555962[accn],Illumina HiSeq 2000,ERR599092,"169,336,043",33.7G,21Gb,2014-09-13
ERX555962[accn],Illumina HiSeq 2000,ERR599092,"169,336,043",33.7G,21Gb,2014-09-13
ERX556082[accn],Illumina HiSeq 2000,ERR598951,"30,171,447",6G,3.6Gb,2014-09-13
ERX556082[accn],Illumina HiSeq 2000,ERR598951,"30,171,447",6G,3.6Gb,2014-09-13
ERX555952[accn],Illumina HiSeq 2000,ERR599043,"198,608,764",39.2G,25.4Gb,2014-09-13
ERX555952[accn],Illumina HiSeq 2000,ERR599043,"198,608,764",39.2G,25.4Gb,2014-09-13
ERX556032[accn],Illumina HiSeq 2000,ERR599094,"164,146,857",32.5G,20.8Gb,2014-09-13
ERX556032[accn],Illumina HiSeq 2000,ERR599094,"164,146,857",32.5G,20.8Gb,2014-09-13
ERX556124[accn],Illumina HiSeq 2000,ERR599153,"29,167,051",5.8G,3.3Gb,2014-09-13
ERX556124[accn],Illumina HiSeq 2000,ERR599153,"29,167,051",5.8G,3.3Gb,2014-09-13
ERX556018[accn],Illumina HiSeq 2000,ERR598969,"34,486,935",6.4G,3.8Gb,2014-09-13
ERX556018[accn],Illumina HiSeq 2000,ERR598969,"34,486,935",6.4G,3.8Gb,2014-09-13
ERX555912[accn],Illumina HiSeq 2000,ERR599106,"166,388,827",32.5G,21Gb,2014-09-13
ERX555912[accn],Illumina HiSeq 2000,ERR599106,"166,388,827",32.5G,21Gb,2014-09-13
ERX140296[accn],454 GS FLX Titanium,ERR164417,"687,518",386.1M,830.5Mb,2013-04-18
ERX556080[accn],Illumina HiSeq 2000,ERR599041,"48,683,248",9.7G,6Gb,2014-09-13
ERX556080[accn],Illumina HiSeq 2000,ERR599041,"48,683,248",9.7G,6Gb,2014-09-13
ERX556022[accn],Illumina HiSeq 2000,ERR599116,"127,806,508",25.5G,15.5Gb,2014-09-13
ERX556022[accn],Illumina HiSeq 2000,ERR599116,"127,806,508",25.5G,15.5Gb,2014-09-13
ERX556066[accn],Illumina HiSeq 2000,ERR599155,"22,345,279",4.5G,2.5Gb,2014-09-13
ERX556066[accn],Illumina HiSeq 2000,ERR599155,"22,345,279",4.5G,2.5Gb,2014-09-13
ERX556055[accn],Illumina HiSeq 2000,ERR599061,"29,953,054",6G,3.6Gb,2014-09-13
ERX556055[accn],Illumina HiSeq 2000,ERR599061,"29,953,054",6G,3.6Gb,2014-09-13
ERX555931[accn],Illumina HiSeq 2000,ERR599097,"167,058,316",33G,21.2Gb,2014-09-13
ERX555931[accn],Illumina HiSeq 2000,ERR599097,"167,058,316",33G,21.2Gb,2014-09-13
ERX556035[accn],Illumina HiSeq 2000,ERR599049,"85,133,875",16.8G,11Gb,2014-09-13
ERX556035[accn],Illumina HiSeq 2000,ERR599049,"85,133,875",16.8G,11Gb,2014-09-13
ERX555946[accn],Illumina HiSeq 2000,ERR599134,"42,401,297",8.4G,5Gb,2014-09-13
ERX555946[accn],Illumina HiSeq 2000,ERR599134,"42,401,297",8.4G,5Gb,2014-09-13
ERX555909[accn],Illumina HiSeq 2000,ERR598959,"39,588,227",7.8G,4.7Gb,2014-09-13
ERX555909[accn],Illumina HiSeq 2000,ERR598959,"39,588,227",7.8G,4.7Gb,2014-09-13
ERX555978[accn],Illumina HiSeq 2000,ERR598991,"81,065,985",16G,10.3Gb,2014-09-13
ERX555978[accn],Illumina HiSeq 2000,ERR598991,"81,065,985",16G,10.3Gb,2014-09-13
ERX552240[accn],Illumina HiSeq 2000,ERR594328,"104,201,672",21G,13.2Gb,2014-09-07
ERX552240[accn],Illumina HiSeq 2000,ERR594328,"104,201,672",21G,13.2Gb,2014-09-07
ERX555956[accn],Illumina HiSeq 2000,ERR598975,"37,677,371",7.4G,4.5Gb,2014-09-13
ERX555956[accn],Illumina HiSeq 2000,ERR598975,"37,677,371",7.4G,4.5Gb,2014-09-13
ERX556025[accn],Illumina HiSeq 2000,ERR599111,"187,030,708",36.6G,24.2Gb,2014-09-13
ERX556025[accn],Illumina HiSeq 2000,ERR599111,"187,030,708",36.6G,24.2Gb,2014-09-13
ERX556073[accn],Illumina HiSeq 2000,ERR598966,"43,069,804",8.6G,4.9Gb,2014-09-13
ERX556073[accn],Illumina HiSeq 2000,ERR598966,"43,069,804",8.6G,4.9Gb,2014-09-13
ERX555943[accn],Illumina HiSeq 2000,ERR599143,"82,513,154",16.3G,10.5Gb,2014-09-13
ERX555943[accn],Illumina HiSeq 2000,ERR599143,"82,513,154",16.3G,10.5Gb,2014-09-13
ERX552247[accn],Illumina HiSeq 2000,ERR594334,"23,962,301",4.8G,2.7Gb,2014-09-07
ERX552247[accn],Illumina HiSeq 2000,ERR594334,"23,962,301",4.8G,2.7Gb,2014-09-07
ERX140300[accn],454 GS FLX Titanium,ERR164414,"113,801",64.5M,141.5Mb,2013-04-18
ERX140303[accn],454 GS FLX Titanium,ERR164419,"650,025",372.4M,811Mb,2013-04-18
ERX556135[accn],Illumina HiSeq 2000,ERR598974,"32,688,174",6.5G,3.9Gb,2014-09-13
