experiment,instrument,run,spots,bases,size,published
ERX714303[accn],Illumina MiSeq,ERR771088,"1,072,444",359M,167Mb,2015-03-04
ERX714303[accn],Illumina MiSeq,ERR771088,"1,072,444",359M,167Mb,2015-03-04
ERX714302[accn],Illumina MiSeq,ERR771089,"1,082,235",365M,170.2Mb,2015-03-04
ERX714302[accn],Illumina MiSeq,ERR771089,"1,082,235",365M,170.2Mb,2015-03-04
ERX714304[accn],Illumina MiSeq,ERR771090,"1,050,843",328.8M,146.2Mb,2015-03-04
ERX714304[accn],Illumina MiSeq,ERR771090,"1,050,843",328.8M,146.2Mb,2015-03-04
ERX714254[accn],Illumina MiSeq,ERR771091,"993,189",320.8M,142.6Mb,2015-03-04
ERX714254[accn],Illumina MiSeq,ERR771091,"993,189",320.8M,142.6Mb,2015-03-04
ERX714310[accn],Illumina MiSeq,ERR771093,"1,522,835",474.1M,215.1Mb,2015-03-04
ERX714310[accn],Illumina MiSeq,ERR771093,"1,522,835",474.1M,215.1Mb,2015-03-04
ERX714309[accn],Illumina MiSeq,ERR771094,"1,311,996",429M,203.7Mb,2015-03-04
ERX714309[accn],Illumina MiSeq,ERR771094,"1,311,996",429M,203.7Mb,2015-03-04
ERX714308[accn],Illumina MiSeq,ERR771095,"929,805",288.4M,132.1Mb,2015-03-04
ERX714308[accn],Illumina MiSeq,ERR771095,"929,805",288.4M,132.1Mb,2015-03-04
ERX714307[accn],Illumina MiSeq,ERR771096,"938,162",312.8M,148.5Mb,2015-03-04
ERX714307[accn],Illumina MiSeq,ERR771096,"938,162",312.8M,148.5Mb,2015-03-04
ERX714311[accn],Illumina MiSeq,ERR771097,"883,110",273.4M,133.5Mb,2015-03-04
ERX714311[accn],Illumina MiSeq,ERR771097,"883,110",273.4M,133.5Mb,2015-03-04
ERX714366[accn],Illumina MiSeq,ERR771098,"1,437,571",427.3M,191.7Mb,2015-03-04
ERX714366[accn],Illumina MiSeq,ERR771098,"1,437,571",427.3M,191.7Mb,2015-03-04
ERX714365[accn],Illumina MiSeq,ERR771099,"1,064,254",334.1M,152.2Mb,2015-03-04
ERX714365[accn],Illumina MiSeq,ERR771099,"1,064,254",334.1M,152.2Mb,2015-03-04
ERX714306[accn],Illumina MiSeq,ERR771100,"1,440,765",433.7M,190.9Mb,2015-03-04
ERX714306[accn],Illumina MiSeq,ERR771100,"1,440,765",433.7M,190.9Mb,2015-03-04
ERX714249[accn],Illumina MiSeq,ERR771101,"1,202,212",386.5M,179Mb,2015-03-04
ERX714249[accn],Illumina MiSeq,ERR771101,"1,202,212",386.5M,179Mb,2015-03-04
ERX714248[accn],Illumina MiSeq,ERR771102,"659,225",238.9M,110.4Mb,2015-03-04
ERX714248[accn],Illumina MiSeq,ERR771102,"659,225",238.9M,110.4Mb,2015-03-04
ERX714247[accn],Illumina MiSeq,ERR771103,"1,154,227",417.7M,222.7Mb,2015-03-04
ERX714247[accn],Illumina MiSeq,ERR771103,"1,154,227",417.7M,222.7Mb,2015-03-04
ERX714312[accn],Illumina MiSeq,ERR771104,"1,326,984",507.1M,273Mb,2015-03-04
ERX714312[accn],Illumina MiSeq,ERR771104,"1,326,984",507.1M,273Mb,2015-03-04
ERX714221[accn],Illumina MiSeq,ERR770958,"910,076",372.7M,197Mb,2015-03-04
ERX714221[accn],Illumina MiSeq,ERR770958,"910,076",372.7M,197Mb,2015-03-04
ERX714313[accn],Illumina MiSeq,ERR770959,"1,390,178",485.2M,250.8Mb,2015-03-04
ERX714313[accn],Illumina MiSeq,ERR770959,"1,390,178",485.2M,250.8Mb,2015-03-04
ERX714314[accn],Illumina MiSeq,ERR770960,"1,243,027",401.5M,204.5Mb,2015-03-04
ERX714314[accn],Illumina MiSeq,ERR770960,"1,243,027",401.5M,204.5Mb,2015-03-04
ERX714241[accn],Illumina MiSeq,ERR770961,"2,954,465",1.6G,950.1Mb,2015-03-04
ERX714241[accn],Illumina MiSeq,ERR770961,"2,954,465",1.6G,950.1Mb,2015-03-04
ERX714315[accn],Illumina MiSeq,ERR770962,"1,242,413",463.2M,243.9Mb,2015-03-04
ERX714315[accn],Illumina MiSeq,ERR770962,"1,242,413",463.2M,243.9Mb,2015-03-04
ERX714251[accn],Illumina MiSeq,ERR770963,"1,339,269",485M,264.1Mb,2015-03-04
ERX714251[accn],Illumina MiSeq,ERR770963,"1,339,269",485M,264.1Mb,2015-03-04
ERX714356[accn],Illumina MiSeq,ERR770964,"1,151,860",416.1M,213.6Mb,2015-03-04
ERX714356[accn],Illumina MiSeq,ERR770964,"1,151,860",416.1M,213.6Mb,2015-03-04
ERX714355[accn],Illumina MiSeq,ERR770965,"1,446,509",543.8M,282.9Mb,2015-03-04
ERX714355[accn],Illumina MiSeq,ERR770965,"1,446,509",543.8M,282.9Mb,2015-03-04
ERX714354[accn],Illumina MiSeq,ERR770966,"1,424,231",509M,270.3Mb,2015-03-04
ERX714354[accn],Illumina MiSeq,ERR770966,"1,424,231",509M,270.3Mb,2015-03-04
ERX714316[accn],Illumina MiSeq,ERR770967,"1,442,630",548.2M,289Mb,2015-03-04
ERX714316[accn],Illumina MiSeq,ERR770967,"1,442,630",548.2M,289Mb,2015-03-04
ERX714236[accn],Illumina MiSeq,ERR770969,"1,281,107",453.5M,234.4Mb,2015-03-04
ERX714236[accn],Illumina MiSeq,ERR770969,"1,281,107",453.5M,234.4Mb,2015-03-04
ERX714364[accn],Illumina MiSeq,ERR770970,"1,102,976",425.5M,217.7Mb,2015-03-04
ERX714364[accn],Illumina MiSeq,ERR770970,"1,102,976",425.5M,217.7Mb,2015-03-04
ERX714363[accn],Illumina MiSeq,ERR770971,"1,442,142",499.9M,264.2Mb,2015-03-04
ERX714363[accn],Illumina MiSeq,ERR770971,"1,442,142",499.9M,264.2Mb,2015-03-04
ERX714317[accn],Illumina MiSeq,ERR770972,"1,215,082",471.9M,248Mb,2015-03-04
ERX714317[accn],Illumina MiSeq,ERR770972,"1,215,082",471.9M,248Mb,2015-03-04
ERX714259[accn],Illumina MiSeq,ERR770975,"1,247,179",467.5M,243.9Mb,2015-03-04
ERX714259[accn],Illumina MiSeq,ERR770975,"1,247,179",467.5M,243.9Mb,2015-03-04
ERX714320[accn],Illumina MiSeq,ERR770976,"1,149,852",416.1M,217.1Mb,2015-03-04
ERX714320[accn],Illumina MiSeq,ERR770976,"1,149,852",416.1M,217.1Mb,2015-03-04
ERX714261[accn],Illumina MiSeq,ERR770977,"1,254,116",579.4M,308.4Mb,2015-03-04
ERX714261[accn],Illumina MiSeq,ERR770977,"1,254,116",579.4M,308.4Mb,2015-03-04
ERX714234[accn],Illumina MiSeq,ERR770978,"1,141,446",537.8M,277.9Mb,2015-03-04
ERX714234[accn],Illumina MiSeq,ERR770978,"1,141,446",537.8M,277.9Mb,2015-03-04
ERX714321[accn],Illumina MiSeq,ERR770979,"1,163,672",547.4M,288.2Mb,2015-03-04
ERX714321[accn],Illumina MiSeq,ERR770979,"1,163,672",547.4M,288.2Mb,2015-03-04
ERX714319[accn],Illumina MiSeq,ERR770981,"1,151,638",550.7M,293.4Mb,2015-03-04
ERX714319[accn],Illumina MiSeq,ERR770981,"1,151,638",550.7M,293.4Mb,2015-03-04
ERX714262[accn],Illumina MiSeq,ERR770982,"1,608,978",725.7M,370Mb,2015-03-04
