experiment,instrument,run,spots,bases,size,published
ERX714323[accn],Illumina MiSeq,ERR770997,"1,440,731",671.6M,345.6Mb,2015-03-04
ERX714323[accn],Illumina MiSeq,ERR770997,"1,440,731",671.6M,345.6Mb,2015-03-04
ERX714266[accn],Illumina MiSeq,ERR771000,"1,361,126",658.8M,349.2Mb,2015-03-04
ERX714266[accn],Illumina MiSeq,ERR771000,"1,361,126",658.8M,349.2Mb,2015-03-04
ERX714349[accn],Illumina MiSeq,ERR771001,"979,085",554.6M,288Mb,2015-03-04
ERX714349[accn],Illumina MiSeq,ERR771001,"979,085",554.6M,288Mb,2015-03-04
ERX714348[accn],Illumina MiSeq,ERR771002,"1,273,415",652.4M,321Mb,2015-03-04
ERX714348[accn],Illumina MiSeq,ERR771002,"1,273,415",652.4M,321Mb,2015-03-04
ERX714324[accn],Illumina MiSeq,ERR771003,"511,010",287.9M,146.2Mb,2015-03-04
ERX714324[accn],Illumina MiSeq,ERR771003,"511,010",287.9M,146.2Mb,2015-03-04
ERX714350[accn],Illumina MiSeq,ERR771004,"1,400,278",648.9M,305.5Mb,2015-03-04
ERX714350[accn],Illumina MiSeq,ERR771004,"1,400,278",648.9M,305.5Mb,2015-03-04
ERX714258[accn],Illumina MiSeq,ERR771005,"1,193,666",614.3M,298.4Mb,2015-03-04
ERX714258[accn],Illumina MiSeq,ERR771005,"1,193,666",614.3M,298.4Mb,2015-03-04
ERX714326[accn],Illumina MiSeq,ERR771006,"1,186,452",580.1M,258.2Mb,2015-03-04
ERX714326[accn],Illumina MiSeq,ERR771006,"1,186,452",580.1M,258.2Mb,2015-03-04
ERX714226[accn],Illumina MiSeq,ERR771007,"65,937",37.2M,21.8Mb,2015-03-04
ERX714226[accn],Illumina MiSeq,ERR771007,"65,937",37.2M,21.8Mb,2015-03-04
ERX714325[accn],Illumina MiSeq,ERR771009,"1,487,040",673.8M,309.8Mb,2015-03-04
ERX714325[accn],Illumina MiSeq,ERR771009,"1,487,040",673.8M,309.8Mb,2015-03-04
ERX714245[accn],Illumina MiSeq,ERR771010,"1,282,987",671.3M,315Mb,2015-03-04
ERX714245[accn],Illumina MiSeq,ERR771010,"1,282,987",671.3M,315Mb,2015-03-04
ERX714328[accn],Illumina MiSeq,ERR771011,"1,639,623",713.6M,328.9Mb,2015-03-04
ERX714328[accn],Illumina MiSeq,ERR771011,"1,639,623",713.6M,328.9Mb,2015-03-04
ERX714330[accn],Illumina MiSeq,ERR771012,"1,458,970",671.5M,333.1Mb,2015-03-04
ERX714330[accn],Illumina MiSeq,ERR771012,"1,458,970",671.5M,333.1Mb,2015-03-04
ERX714357[accn],Illumina MiSeq,ERR771013,"1,545,753",686.5M,328.3Mb,2015-03-04
ERX714357[accn],Illumina MiSeq,ERR771013,"1,545,753",686.5M,328.3Mb,2015-03-04
ERX714331[accn],Illumina MiSeq,ERR771014,"1,193,837",593.6M,278.2Mb,2015-03-04
ERX714331[accn],Illumina MiSeq,ERR771014,"1,193,837",593.6M,278.2Mb,2015-03-04
ERX714327[accn],Illumina MiSeq,ERR771017,"1,408,435",659.1M,305.4Mb,2015-03-04
ERX714327[accn],Illumina MiSeq,ERR771017,"1,408,435",659.1M,305.4Mb,2015-03-04
ERX714244[accn],Illumina MiSeq,ERR771018,"828,380",419.1M,192.1Mb,2015-03-04
