experiment,instrument,run,spots,bases,size,published
ERX555924[accn],Illumina HiSeq 2000,ERR599085,"36,095,353",7.1G,4.3Gb,2014-09-13
ERX555924[accn],Illumina HiSeq 2000,ERR599085,"36,095,353",7.1G,4.3Gb,2014-09-13
ERX948108[accn],Illumina HiSeq 2000,ERR868379,"175,650,739",34.1G,22.7Gb,2015-05-06
ERX948108[accn],Illumina HiSeq 2000,ERR868379,"175,650,739",34.1G,22.7Gb,2015-05-06
ERX555926[accn],Illumina HiSeq 2000,ERR599024,"169,274,791",33.6G,20.5Gb,2014-09-13
ERX555926[accn],Illumina HiSeq 2000,ERR599024,"169,274,791",33.6G,20.5Gb,2014-09-13
ERX556092[accn],Illumina HiSeq 2000,ERR599063,"24,329,597",4.9G,2.8Gb,2014-09-13
ERX556092[accn],Illumina HiSeq 2000,ERR599063,"24,329,597",4.9G,2.8Gb,2014-09-13
ERX555916[accn],Illumina HiSeq 2000,ERR599163,"117,555,141",23.5G,14.1Gb,2014-09-13
ERX555916[accn],Illumina HiSeq 2000,ERR599163,"117,555,141",23.5G,14.1Gb,2014-09-13
ERX556074[accn],Illumina HiSeq 2000,ERR599169,"44,682,390",8.9G,5.2Gb,2014-09-13
ERX556074[accn],Illumina HiSeq 2000,ERR599169,"44,682,390",8.9G,5.2Gb,2014-09-13
ERX555917[accn],Illumina HiSeq 2000,ERR599081,"144,664,216",28.7G,17.6Gb,2014-09-13
ERX555917[accn],Illumina HiSeq 2000,ERR599081,"144,664,216",28.7G,17.6Gb,2014-09-13
ERX555930[accn],Illumina HiSeq 2000,ERR599113,"25,877,702",5.2G,3Gb,2014-09-13
ERX555930[accn],Illumina HiSeq 2000,ERR599113,"25,877,702",5.2G,3Gb,2014-09-13
ERX555949[accn],Illumina HiSeq 2000,ERR598946,"114,451,490",22.7G,14.1Gb,2014-09-13
ERX555949[accn],Illumina HiSeq 2000,ERR598946,"114,451,490",22.7G,14.1Gb,2014-09-13
ERX556081[accn],Illumina HiSeq 2000,ERR598953,"45,531,074",9G,5.4Gb,2014-09-13
ERX556081[accn],Illumina HiSeq 2000,ERR598953,"45,531,074",9G,5.4Gb,2014-09-13
ERX555977[accn],Illumina HiSeq 2000,ERR598981,"22,326,138",4.4G,2.6Gb,2014-09-13
ERX555977[accn],Illumina HiSeq 2000,ERR598981,"22,326,138",4.4G,2.6Gb,2014-09-13
ERX948009[accn],Illumina HiSeq 2000,ERR868453,"128,537,860",26G,16.5Gb,2015-05-06
ERX948009[accn],Illumina HiSeq 2000,ERR868453,"128,537,860",26G,16.5Gb,2015-05-06
ERX948083[accn],Illumina HiSeq 2000,ERR868457,"47,011,611",9.1G,6.2Gb,2015-05-06
ERX948083[accn],Illumina HiSeq 2000,ERR868457,"47,011,611",9.1G,6.2Gb,2015-05-06
ERX556029[accn],Illumina HiSeq 2000,ERR598943,"36,334,542",7.3G,4.1Gb,2014-09-13
ERX556029[accn],Illumina HiSeq 2000,ERR598943,"36,334,542",7.3G,4.1Gb,2014-09-13
ERX555954[accn],Illumina HiSeq 2000,ERR598978,"132,611,913",26.4G,16.1Gb,2014-09-13
ERX555954[accn],Illumina HiSeq 2000,ERR598978,"132,611,913",26.4G,16.1Gb,2014-09-13
ERX556050[accn],Illumina HiSeq 2000,ERR599055,"23,444,203",4.7G,2.7Gb,2014-09-13
ERX556050[accn],Illumina HiSeq 2000,ERR599055,"23,444,203",4.7G,2.7Gb,2014-09-13
ERX556051[accn],Illumina HiSeq 2000,ERR599128,"47,344,092",9.3G,5.9Gb,2014-09-13
ERX556051[accn],Illumina HiSeq 2000,ERR599128,"47,344,092",9.3G,5.9Gb,2014-09-13
ERX555974[accn],Illumina HiSeq 2000,ERR599132,"128,719,360",25.1G,16.4Gb,2014-09-13
ERX555974[accn],Illumina HiSeq 2000,ERR599132,"128,719,360",25.1G,16.4Gb,2014-09-13
ERX948109[accn],Illumina HiSeq 2000,ERR868362,"163,099,167",32.9G,20.8Gb,2015-05-06
ERX948109[accn],Illumina HiSeq 2000,ERR868362,"163,099,167",32.9G,20.8Gb,2015-05-06
ERX556048[accn],Illumina HiSeq 2000,ERR598962,"23,717,452",4.7G,2.7Gb,2014-09-13
ERX556048[accn],Illumina HiSeq 2000,ERR598962,"23,717,452",4.7G,2.7Gb,2014-09-13
ERX556005[accn],Illumina HiSeq 2000,ERR599007,"132,726,859",26.4G,15.4Gb,2014-09-13
ERX556005[accn],Illumina HiSeq 2000,ERR599007,"132,726,859",26.4G,15.4Gb,2014-09-13
ERX556001[accn],Illumina HiSeq 2000,ERR599168,"48,143,741",13.7G,8.4Gb,2014-09-13
ERX556001[accn],Illumina HiSeq 2000,ERR599168,"48,143,741",13.7G,8.4Gb,2014-09-13
ERX947961[accn],Illumina HiSeq 2000,ERR868377,"169,802,470",33.4G,21Gb,2015-05-06
ERX947961[accn],Illumina HiSeq 2000,ERR868377,"169,802,470",33.4G,21Gb,2015-05-06
ERX556086[accn],Illumina HiSeq 2000,ERR598997,"26,789,701",5.3G,3Gb,2014-09-13
ERX556086[accn],Illumina HiSeq 2000,ERR598997,"26,789,701",5.3G,3Gb,2014-09-13
ERX555963[accn],Illumina HiSeq 2000,ERR599118,"159,269,781",31.7G,19.7Gb,2014-09-13
ERX555963[accn],Illumina HiSeq 2000,ERR599118,"159,269,781",31.7G,19.7Gb,2014-09-13
ERX556128[accn],Illumina HiSeq 2000,ERR598952,"20,877,758",4.2G,2.3Gb,2014-09-13
ERX556128[accn],Illumina HiSeq 2000,ERR598952,"20,877,758",4.2G,2.3Gb,2014-09-13
ERX556007[accn],Illumina HiSeq 2000,ERR599065,"107,170,154",21.2G,13.2Gb,2014-09-13
ERX556007[accn],Illumina HiSeq 2000,ERR599065,"107,170,154",21.2G,13.2Gb,2014-09-13
ERX556026[accn],Illumina HiSeq 2000,ERR599108,"41,956,417",8.3G,4.9Gb,2014-09-13
ERX556026[accn],Illumina HiSeq 2000,ERR599108,"41,956,417",8.3G,4.9Gb,2014-09-13
ERX556043[accn],Illumina HiSeq 2000,ERR598971,"162,234,931",31.9G,21Gb,2014-09-13
ERX556010[accn],Illumina HiSeq 2000,ERR599067,"31,552,247",6.3G,3.6Gb,2014-09-13
ERX556010[accn],Illumina HiSeq 2000,ERR599067,"31,552,247",6.3G,3.6Gb,2014-09-13
ERX947981[accn],Illumina HiSeq 2000,ERR868470,"45,378,044",8.8G,5.8Gb,2015-05-06
ERX947981[accn],Illumina HiSeq 2000,ERR868470,"45,378,044",8.8G,5.8Gb,2015-05-06
ERX948066[accn],Illumina HiSeq 2000,ERR868506,"152,228,488",29.5G,19.4Gb,2015-05-06
ERX948066[accn],Illumina HiSeq 2000,ERR868506,"152,228,488",29.5G,19.4Gb,2015-05-06
ERX556137[accn],Illumina HiSeq 2000,ERR599039,"160,898,544",31.9G,19.7Gb,2014-09-13
ERX556137[accn],Illumina HiSeq 2000,ERR599039,"160,898,544",31.9G,19.7Gb,2014-09-13
ERX555941[accn],Illumina HiSeq 2000,ERR599014,"211,750,391",41.7G,27.4Gb,2014-09-13
