experiment,instrument,run,spots,bases,size,published
SRX2334611[accn],NextSeq 500,SRR5002314,"31,517,755",9.5G,4.8Gb,2017-03-01
SRX2334629[accn],NextSeq 500,SRR5002332,"31,423,957",9.5G,4.8Gb,2017-03-01
SRX2334691[accn],NextSeq 500,SRR5002394,"37,666,192",11.3G,5.9Gb,2017-03-01
SRX2334630[accn],NextSeq 500,SRR5002333,"50,567,697",15.2G,7.7Gb,2017-03-01
SRX2334635[accn],NextSeq 500,SRR5002338,"33,312,129",10G,5.1Gb,2017-03-01
SRX2334655[accn],NextSeq 500,SRR5002358,"39,622,377",11.9G,6Gb,2017-03-01
SRX2334676[accn],NextSeq 500,SRR5002379,"89,902,148",27.1G,12.7Gb,2017-03-01
SRX2334642[accn],NextSeq 500,SRR5002345,"39,201,613",11.8G,6.5Gb,2017-03-01
SRX2334662[accn],Illumina MiSeq,SRR5002365,"21,793,396",13.1G,6.7Gb,2017-03-01
SRX2334690[accn],NextSeq 500,SRR5002393,"45,938,036",13.8G,6.9Gb,2017-03-01
SRX2334605[accn],NextSeq 500,SRR5002308,"47,869,691",14.4G,6.8Gb,2017-03-01
SRX2334617[accn],NextSeq 500,SRR5002320,"35,810,033",10.8G,5.6Gb,2017-03-01
SRX2334672[accn],Illumina MiSeq,SRR5002375,"966,478",578.6M,326.6Mb,2017-03-01
SRX2334679[accn],NextSeq 500,SRR5002382,"34,039,820",10.2G,5.1Gb,2017-03-01
SRX2334650[accn],NextSeq 500,SRR5002353,"30,299,703",9.1G,4.6Gb,2017-03-01
SRX2334684[accn],NextSeq 500,SRR5002387,"27,258,052",8.2G,4.1Gb,2017-03-01
SRX2334649[accn],NextSeq 500,SRR5002352,"26,592,042",8G,4.1Gb,2017-03-01
SRX2334665[accn],Illumina MiSeq,SRR5002368,"644,696",386.3M,232.1Mb,2017-03-01
SRX2334706[accn],NextSeq 500,SRR5002409,"31,219,099",9.4G,4.8Gb,2017-03-01
SRX2334622[accn],NextSeq 500,SRR5002325,"30,187,709",9.1G,4.6Gb,2017-03-01
SRX2334667[accn],NextSeq 500,SRR5002370,"37,550,793",11.3G,5.9Gb,2017-03-01
SRX2334663[accn],Illumina MiSeq,SRR5002366,"2,906,698",1.7G,920.3Mb,2017-03-01
SRX2334708[accn],NextSeq 500,SRR5002411,"34,793,515",10.5G,5.4Gb,2017-03-01
SRX2334615[accn],NextSeq 500,SRR5002318,"30,180,060",9.1G,4.7Gb,2017-03-01
SRX2334689[accn],Illumina MiSeq,SRR5002392,"3,071,121",1.8G,982.9Mb,2017-03-01
SRX2334654[accn],NextSeq 500,SRR5002357,"34,195,619",10.3G,5.3Gb,2017-03-01
SRX2334680[accn],NextSeq 500,SRR5002383,"35,644,797",10.7G,5.5Gb,2017-03-01
SRX2334704[accn],Illumina MiSeq,SRR5002407,"3,549,863",2.1G,1.1Gb,2017-03-01
SRX2334637[accn],NextSeq 500,SRR5002340,"33,278,892",10G,5.1Gb,2017-03-01
SRX2334636[accn],NextSeq 500,SRR5002339,"29,899,700",9G,4.7Gb,2017-03-01
SRX2334686[accn],NextSeq 500,SRR5002389,"21,378,623",6.4G,3.3Gb,2017-03-01
SRX2334608[accn],NextSeq 500,SRR5002311,"27,056,825",8.1G,4.1Gb,2017-03-01
SRX2334644[accn],NextSeq 500,SRR5002347,"28,108,785",8.5G,4.3Gb,2017-03-01
SRX2334670[accn],NextSeq 500,SRR5002373,"42,668,045",12.8G,6.5Gb,2017-03-01
SRX2334643[accn],NextSeq 500,SRR5002346,"58,538,463",17.6G,8.3Gb,2017-03-01
SRX2334610[accn],NextSeq 500,SRR5002313,"70,024,115",21.1G,10.4Gb,2017-03-01
SRX2334645[accn],NextSeq 500,SRR5002348,"77,473,679",23.3G,12Gb,2017-03-01
SRX2334666[accn],NextSeq 500,SRR5002369,"64,283,072",19.3G,9.6Gb,2017-03-01
SRX2334618[accn],NextSeq 500,SRR5002321,"32,443,627",9.7G,5Gb,2017-03-01
SRX2334671[accn],Illumina MiSeq,SRR5002374,"3,771,834",2.3G,1.3Gb,2017-03-01
SRX2334695[accn],NextSeq 500,SRR5002398,"40,569,137",12.2G,6.3Gb,2017-03-01
SRX2334614[accn],NextSeq 500,SRR5002317,"37,003,897",11.1G,5.7Gb,2017-03-01
SRX2334623[accn],Illumina MiSeq,SRR5002326,"3,157,020",1.9G,1.1Gb,2017-03-01
SRX2334661[accn],NextSeq 500,SRR5002364,"31,654,903",9.5G,4.9Gb,2017-03-01
SRX2334681[accn],NextSeq 500,SRR5002384,"39,305,945",11.8G,6.1Gb,2017-03-01
SRX2334653[accn],Illumina MiSeq,SRR5002356,"21,679,775",13G,6.7Gb,2017-03-01
SRX2334688[accn],Illumina MiSeq,SRR5002391,"21,593,082",12.9G,6.8Gb,2017-03-01
SRX2334710[accn],NextSeq 500,SRR5002413,"26,545,648",8G,4.2Gb,2017-03-01
SRX2334711[accn],Illumina MiSeq,SRR5002414,"43,272,857",25.9G,13.4Gb,2017-03-01
SRX2334620[accn],NextSeq 500,SRR5002323,"39,093,954",11.7G,6Gb,2017-03-01
SRX2334624[accn],Illumina MiSeq,SRR5002327,"7,637,593",4.4G,2.5Gb,2017-03-01
SRX2334609[accn],Illumina MiSeq,SRR5002312,"1,354,417",807.3M,506.7Mb,2017-03-01
SRX2334657[accn],NextSeq 500,SRR5002360,"64,729,884",19.4G,10Gb,2017-03-01
SRX2334633[accn],NextSeq 500,SRR5002336,"29,463,679",8.9G,4.5Gb,2017-03-01
SRX2334627[accn],NextSeq 500,SRR5002330,"24,548,452",7.4G,3.8Gb,2017-03-01
SRX2334626[accn],NextSeq 500,SRR5002329,"32,867,673",9.9G,5.9Gb,2017-03-01
SRX2334621[accn],NextSeq 500,SRR5002324,"54,583,346",16.4G,8.4Gb,2017-03-01
SRX2334696[accn],NextSeq 500,SRR5002399,"50,519,451",15.2G,7.5Gb,2017-03-01
SRX2334694[accn],NextSeq 500,SRR5002397,"63,395,708",19.1G,9.4Gb,2017-03-01
SRX2334628[accn],NextSeq 500,SRR5002331,"51,282,731",15.4G,7.8Gb,2017-03-01
SRX2334664[accn],Illumina MiSeq,SRR5002367,"1,554,328",931.6M,664.8Mb,2017-03-01
SRX5950910[accn],NextSeq 500,SRR9178224,"14,791,090",4.5G,2.6Gb,2019-06-07
SRX5950910[accn],NextSeq 500,SRR9178224,"14,791,090",4.5G,2.6Gb,2019-06-07
SRX5950816[accn],NextSeq 500,SRR9178318,"35,418,433",10.6G,4.6Gb,2019-06-07
SRX5950816[accn],NextSeq 500,SRR9178318,"35,418,433",10.6G,4.6Gb,2019-06-07
SRX5950768[accn],NextSeq 500,SRR9178366,"19,799",5.7M,2.1Mb,2019-06-07
SRX5950768[accn],NextSeq 500,SRR9178366,"19,799",5.7M,2.1Mb,2019-06-07
SRX5950992[accn],NextSeq 500,SRR9178142,"18,919,955",5.7G,2.1Gb,2019-06-07
SRX5950992[accn],NextSeq 500,SRR9178142,"18,919,955",5.7G,2.1Gb,2019-06-07
SRX5950988[accn],NextSeq 500,SRR9178146,"8,461,894",2.5G,888.4Mb,2019-06-07
SRX5950988[accn],NextSeq 500,SRR9178146,"8,461,894",2.5G,888.4Mb,2019-06-07
SRX5950818[accn],NextSeq 500,SRR9178316,"23,985,674",7.2G,3.1Gb,2019-06-07
SRX5950818[accn],NextSeq 500,SRR9178316,"23,985,674",7.2G,3.1Gb,2019-06-07
SRX5950777[accn],NextSeq 500,SRR9178357,"7,888,819",2.4G,825.5Mb,2019-06-07
SRX5950777[accn],NextSeq 500,SRR9178357,"7,888,819",2.4G,825.5Mb,2019-06-07
SRX5950775[accn],NextSeq 500,SRR9178359,"16,876,076",5.1G,1.9Gb,2019-06-07
SRX5950775[accn],NextSeq 500,SRR9178359,"16,876,076",5.1G,1.9Gb,2019-06-07
SRX5950993[accn],NextSeq 500,SRR9178141,"10,096,368",3G,1Gb,2019-06-07
SRX5950993[accn],NextSeq 500,SRR9178141,"10,096,368",3G,1Gb,2019-06-07
SRX5950987[accn],NextSeq 500,SRR9178147,"22,563,254",6.8G,2.5Gb,2019-06-07
SRX5950987[accn],NextSeq 500,SRR9178147,"22,563,254",6.8G,2.5Gb,2019-06-07
SRX5951026[accn],NextSeq 500,SRR9178108,"12,685,168",3.8G,1.3Gb,2019-06-07
SRX5951026[accn],NextSeq 500,SRR9178108,"12,685,168",3.8G,1.3Gb,2019-06-07
SRX5950981[accn],NextSeq 500,SRR9178153,"19,029,532",5.7G,2.4Gb,2019-06-07
SRX5950981[accn],NextSeq 500,SRR9178153,"19,029,532",5.7G,2.4Gb,2019-06-07
SRX5950774[accn],NextSeq 500,SRR9178360,"14,069,878",4.2G,1.5Gb,2019-06-07
SRX5950774[accn],NextSeq 500,SRR9178360,"14,069,878",4.2G,1.5Gb,2019-06-07
SRX5951126[accn],NextSeq 500,SRR9178477,"31,333,183",9.4G,3.6Gb,2019-06-07
SRX5951126[accn],NextSeq 500,SRR9178477,"31,333,183",9.4G,3.6Gb,2019-06-07
SRX5951036[accn],NextSeq 500,SRR9178098,"25,767,809",7.7G,2.9Gb,2019-06-07
SRX5951036[accn],NextSeq 500,SRR9178098,"25,767,809",7.7G,2.9Gb,2019-06-07
SRX5950919[accn],NextSeq 500,SRR9178215,"12,762,011",3.8G,1.3Gb,2019-06-07
SRX5950919[accn],NextSeq 500,SRR9178215,"12,762,011",3.8G,1.3Gb,2019-06-07
SRX5951027[accn],NextSeq 500,SRR9178107,"32,652,569",9.8G,4.2Gb,2019-06-07
SRX5951027[accn],NextSeq 500,SRR9178107,"32,652,569",9.8G,4.2Gb,2019-06-07
SRX5950979[accn],NextSeq 500,SRR9178155,"5,239,291",1.6G,554.7Mb,2019-06-07
SRX5950979[accn],NextSeq 500,SRR9178155,"5,239,291",1.6G,554.7Mb,2019-06-07
SRX5951117[accn],NextSeq 500,SRR9178486,"3,727,316",1.1G,431.3Mb,2019-06-07
SRX5951117[accn],NextSeq 500,SRR9178486,"3,727,316",1.1G,431.3Mb,2019-06-07
SRX5950986[accn],NextSeq 500,SRR9178148,"35,367,513",10.6G,4.6Gb,2019-06-07
